GROUP_ID,PAPER_RECORD_ID,PAPER_ID,PAPER_ID_STATUS,CV_GROUP_V4,CV_GROUP_V4_BASIS,DATABASE,CITATION,SAMPLE NAME,LABEL,SET,PAPER_YEAR,PAPER_FIRST_AUTHOR,PAPER_MATCH_KEY,PAPER_DOI
GEOROC|[10228] TORMEY D. R. (1991)|||SAMP. 010284-01|||ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / HUDSON,GEOROC|CITATION_ID|10228,PAPER|GEOROC|CITATION_ID|10228,SOURCE_RECORD_ONLY,PAPER|GEOROC|CITATION_ID|10228,PAPER_ID,GEOROC, [10228] TORMEY D. R. (1991),samp. 010284-01,CAB,TRAIN,1991,TORMEY,TORMEY|1991,
GEOROC|[10228] TORMEY D. R. (1991)|||SAMP. 010284-03|||ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / HUDSON,GEOROC|CITATION_ID|10228,PAPER|GEOROC|CITATION_ID|10228,SOURCE_RECORD_ONLY,PAPER|GEOROC|CITATION_ID|10228,PAPER_ID,GEOROC, [10228] TORMEY D. R. (1991),samp. 010284-03,CAB,TRAIN,1991,TORMEY,TORMEY|1991,
GEOROC|[10228] TORMEY D. R. (1991)|||SAMP. 070284-05|||ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / CAY,GEOROC|CITATION_ID|10228,PAPER|GEOROC|CITATION_ID|10228,SOURCE_RECORD_ONLY,PAPER|GEOROC|CITATION_ID|10228,PAPER_ID,GEOROC, [10228] TORMEY D. R. (1991),samp. 070284-05,CAB,TRAIN,1991,TORMEY,TORMEY|1991,
GEOROC|[10228] TORMEY D. R. (1991)|||SAMP. 111275-09|||ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / HUICHATIO,GEOROC|CITATION_ID|10228,PAPER|GEOROC|CITATION_ID|10228,SOURCE_RECORD_ONLY,PAPER|GEOROC|CITATION_ID|10228,PAPER_ID,GEOROC, [10228] TORMEY D. R. (1991),samp. 111275-09,CAB,TRAIN,1991,TORMEY,TORMEY|1991,
GEOROC|[10228] TORMEY D. R. (1991)|||SAMP. 120284-01|||ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / CORCOVADO,GEOROC|CITATION_ID|10228,PAPER|GEOROC|CITATION_ID|10228,SOURCE_RECORD_ONLY,PAPER|GEOROC|CITATION_ID|10228,PAPER_ID,GEOROC, [10228] TORMEY D. R. (1991),samp. 120284-01,CAB,TRAIN,1991,TORMEY,TORMEY|1991,
GEOROC|[10228] TORMEY D. R. (1991)|||SAMP. 120284-07|||ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / HUEQUI,GEOROC|CITATION_ID|10228,PAPER|GEOROC|CITATION_ID|10228,SOURCE_RECORD_ONLY,PAPER|GEOROC|CITATION_ID|10228,PAPER_ID,GEOROC, [10228] TORMEY D. R. (1991),samp. 120284-07,CAB,TRAIN,1991,TORMEY,TORMEY|1991,
GEOROC|[10402] MARRINER G. F. (1984)|||SAMP. DM 13|||ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / COLOMBIA / COMBIA VOLCANIC COMPLEX,GEOROC|CITATION_ID|10402,PAPER|GEOROC|CITATION_ID|10402,SOURCE_RECORD_ONLY,PAPER|GEOROC|CITATION_ID|10402,PAPER_ID,GEOROC, [10402] MARRINER G. F. (1984),samp. DM 13,CAB,TRAIN,1984,MARRINER,MARRINER|1984,
GEOROC|[10402] MARRINER G. F. (1984)|||SAMP. DM 9A|||ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / COLOMBIA / COMBIA VOLCANIC COMPLEX,GEOROC|CITATION_ID|10402,PAPER|GEOROC|CITATION_ID|10402,SOURCE_RECORD_ONLY,PAPER|GEOROC|CITATION_ID|10402,PAPER_ID,GEOROC, [10402] MARRINER G. F. (1984),samp. DM 9A,CAB,TRAIN,1984,MARRINER,MARRINER|1984,
GEOROC|[11951] SINGER B. S. (2008)|||SAMP. PU-05-07|||ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / CERRO MIRADOR,GEOROC|CITATION_ID|11951,PAPER|GEOROC|CITATION_ID|11951,SOURCE_RECORD_ONLY,PAPER|GEOROC|CITATION_ID|11951,PAPER_ID,GEOROC, [11951] SINGER B. S. (2008),samp. PU-05-07,CAB,TRAIN,2008,SINGER,SINGER|2008,
GEOROC|[11951] SINGER B. S. (2008)|||SAMP. PU-05-32|||ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / CERRO MIRADOR,GEOROC|CITATION_ID|11951,PAPER|GEOROC|CITATION_ID|11951,SOURCE_RECORD_ONLY,PAPER|GEOROC|CITATION_ID|11951,PAPER_ID,GEOROC, [11951] SINGER B. S. (2008),samp. PU-05-32,CAB,TRAIN,2008,SINGER,SINGER|2008,
