CV_GROUP_V4,N_LABELS,LABELS,N_SAMPLES,N_PAPER_RECORDS,DATABASES,CITATIONS,OLD_SPLIT_SETS
PAPER|MERGED|bf07c89eb0b7310f,2,MORB|OIB,139,2,GEOROC || PetDB," [13694] GEIST D. J. (2006) || Geist, D. J., Fornari, D. J., ... Koleszar, A. M. (2006). SUBMARINE FERNANDINA:  MAGMATISM AT THE LEADING EDGE OF THE GALAPAGOS HOT SPOT. GEOCHEM GEOPHYS GEOSYST, 7(12)",TEST || TRAIN
PAPER|GEOROC|CITATION_ID|2918,2,MORB|OPB,100,1,GEOROC, [2918] HAUFF F. (2000),TRAIN
PAPER|GEOROC|CITATION_ID|22111,2,CFB|OIB,98,1,GEOROC, [22111] PETERS B. J. (2017),TRAIN
PAPER|MERGED|1199d05be01346da,2,MORB|OIB,77,2,GEOROC || PetDB," [24087] HARPP K. S. (2020) || Harpp, K. S., Weis, D. (2020). INSIGHTS INTO THE ORIGINS AND COMPOSITIONS OF MANTLE PLUMES: A COMPARISON OF GALÁPAGOS AND HAWAI'I. GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS, 21(9), null.",TRAIN
PAPER|MERGED|e8badf4b1294e6aa,2,MORB|OIB,69,2,GEOROC || PetDB," [11695] GEIST D. J. (2008) || Geist, D. J., Diefenbach, B., ... Blusztajn, J. (2008). CONSTRUCTION OF THE GALÁPAGOS PLATFORM BY LARGE SUBMARINE VOLCANIC TERRACES. GEOCHEM GEOPHYS GEOSYST, 9(3)",TRAIN
PAPER|GEOROC|CITATION_ID|1914,2,CFB|OPB,67,1,GEOROC, [1914] STOREY M. (1992),TRAIN
PAPER|GEOROC|CITATION_ID|2105,2,MORB|OPB,57,1,GEOROC, [2105] SCHILLING J.- G. (1982),TRAIN
PAPER|GEOROC|CITATION_ID|531,2,MORB|OPB,41,1,GEOROC, [531] MAHONEY J. J. (1995),TRAIN
PAPER|MERGED|18362b995fd99ed2,2,MORB|OIB,41,2,GEOROC || PetDB," [18375] MADUREIRA P. (2014) || Madureira, P., Moreira, M., ... Pinto De Abreu, M. (2014). HELIUM ISOTOPE SYSTEMATICS IN THE VINCINITY OF THE AZORES TRIPLE JUNCTION: CONTRAINTS ON THE AZORES GEODYNAMICS. CHEMICAL GEOLOGY, 372, 62-71.",TEST || TRAIN
PAPER|MERGED|d58c00c0830a8e70,2,MORB|OIB,37,2,GEOROC || PetDB," [12941] BEIER C.(2008)  [GeoReM [4123] ] || Beier, C., Haase, K. M., ... Hauff, F. (2008). MAGMA GENESIS BY RIFTING OF OCEANIC LITHOSPHERE ABOVE ANOMALOUS MANTLE: TERCEIRA RIFT, AZORES. GEOCHEM GEOPHYS GEOSYST, 9(12)",TRAIN
