PAPER_MATCH_KEY,GEOROC_RECORD_ID,PETDB_RECORD_ID,GEOROC_CITATION,PETDB_CITATION,GEOROC_LABELS,PETDB_LABELS,GEOROC_SAMPLES,PETDB_SAMPLES,OVERLAPPING_SAMPLE_NAMES,CORROBORATED_SAMPLE_NAMES,SAMPLE_NAME_EXAMPLES,DOI_MATCH,OLD_SPLIT_SETS,CROSSED_V3_TRAIN_TEST,MATCH_DECISION,VERIFICATION_BASIS
MADUREIRA|2014,GEOROC|CITATION_ID|18375,PETDB|CITATION_SHA1|53aedca48d47e122, [18375] MADUREIRA P. (2014),"Madureira, P., Moreira, M., ... Pinto De Abreu, M. (2014). HELIUM ISOTOPE SYSTEMATICS IN THE VINCINITY OF THE AZORES TRIPLE JUNCTION: CONTRAINTS ON THE AZORES GEODYNAMICS. CHEMICAL GEOLOGY, 372, 62-71.",OIB,MORB,21,20,20,20,D5003|D5009|D5011|INZ18|INZ19|INZ1E|INZ24|INZ42|INZ44|INZ45,False,TEST|TRAIN,True,AUTO_CONFIRMED_SAMPLE_OR_DOI_EVIDENCE,
MOORE|1970,GEOROC|CITATION_ID|3166,PETDB|CITATION_SHA1|cd63c14785d91464, [3166] MOORE J. G. (1970),"Moore, J. G. (1970). WATER CONTENT OF BASALT ERUPTED ON THE OCEAN FLOOR. CONTRIB MINERAL PETROL, 28, 272-279.",OIB,MORB,7,9,0,0,,False,TEST|TRAIN,True,VERIFIED_DIFFERENT_PUBLICATION,"Different titles, journals, volumes and page ranges"
ZHANG|2010,GEOROC|CITATION_ID|14609,PETDB|CITATION_SHA1|ac9a0577d766b24b, [14609] ZHANG YU-TAO (2010),"Zhang, G., Zeng, Z., ... Turner, S. (2010). GENERATION AND EVOLUTION OF MAGMA BENEATH THE EAST PACIFIC RISE: CONSTRAINTS FROM U-SERIES DISEQUILIBRIUM AND PLAGIOCLASE-HOSTED MELT INCLUSIONS. J VOLCANOL GEOTHERM RES, 193, 1-17.",CFB,MORB,19,2,0,0,,False,TEST|TRAIN,True,VERIFIED_DIFFERENT_PUBLICATION,"Different first-author identity, title, journal and DOI"
ZHANG|2010,GEOROC|CITATION_ID|14737,PETDB|CITATION_SHA1|ac9a0577d766b24b, [14737] ZHANG CHUAN-LIN (2010),"Zhang, G., Zeng, Z., ... Turner, S. (2010). GENERATION AND EVOLUTION OF MAGMA BENEATH THE EAST PACIFIC RISE: CONSTRAINTS FROM U-SERIES DISEQUILIBRIUM AND PLAGIOCLASE-HOSTED MELT INCLUSIONS. J VOLCANOL GEOTHERM RES, 193, 1-17.",CFB,MORB,14,2,0,0,,False,TEST|TRAIN,True,VERIFIED_DIFFERENT_PUBLICATION,"Different first-author identity, title, journal and DOI"
GEIST|2006,GEOROC|CITATION_ID|13694,PETDB|CITATION_SHA1|82e8cabda89651ea, [13694] GEIST D. J. (2006),"Geist, D. J., Fornari, D. J., ... Koleszar, A. M. (2006). SUBMARINE FERNANDINA:  MAGMATISM AT THE LEADING EDGE OF THE GALAPAGOS HOT SPOT. GEOCHEM GEOPHYS GEOSYST, 7(12)",OIB,MORB,128,11,0,0,,False,TEST|TRAIN,True,VERIFIED_SAME_PUBLICATION,"Full title, seven-author list, year and journal match"
BEIER|2008,GEOROC|CITATION_ID|12941,PETDB|CITATION_SHA1|009d4e6c1ad2eff1, [12941] BEIER C.(2008)  [GeoReM [4123] ],"Beier, C., Haase, K. M., ... Hauff, F. (2008). MAGMA GENESIS BY RIFTING OF OCEANIC LITHOSPHERE ABOVE ANOMALOUS MANTLE: TERCEIRA RIFT, AZORES. GEOCHEM GEOPHYS GEOSYST, 9(12)",OIB,MORB,14,23,3,3,529DS4|535DS7|542DS1,False,TRAIN,False,AUTO_CONFIRMED_SAMPLE_OR_DOI_EVIDENCE,
GEIST|2008,GEOROC|CITATION_ID|11695,PETDB|CITATION_SHA1|71e05a7e5c6c8848, [11695] GEIST D. J. (2008),"Geist, D. J., Diefenbach, B., ... Blusztajn, J. (2008). CONSTRUCTION OF THE GALÁPAGOS PLATFORM BY LARGE SUBMARINE VOLCANIC TERRACES. GEOCHEM GEOPHYS GEOSYST, 9(3)",OIB,MORB,60,9,9,9,D54A|D54B|D66B|D67A|D67B|D69B|D69F|D71A|D73A,False,TRAIN,False,AUTO_CONFIRMED_SAMPLE_OR_DOI_EVIDENCE,
HARPP|2020,GEOROC|CITATION_ID|24087,PETDB|CITATION_SHA1|7e5a4bf3f75c25bf, [24087] HARPP K. S. (2020),"Harpp, K. S., Weis, D. (2020). INSIGHTS INTO THE ORIGINS AND COMPOSITIONS OF MANTLE PLUMES: A COMPARISON OF GALÁPAGOS AND HAWAI'I. GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS, 21(9), null.",OIB,MORB,40,37,37,37,ES1515|ES1520|ES1524|ES1529|ES1537|ES1543|ES1548|ES1549|ES1559|ES1561,False,TRAIN,False,AUTO_CONFIRMED_SAMPLE_OR_DOI_EVIDENCE,
HAASE|2002,GEOROC|CITATION_ID|6185,PETDB|CITATION_SHA1|1746f250834579fc, [6185] HAASE K. M. (2002),"Haase, K. M. (2002). GEOCHEMICAL CONSTRAINTS ON MAGMA SOURCES AND MIXING PROCESSES IN EASTER MICROPLATE MORB (SE PACIFIC); A CASE STUDY OF PLUME-RIDGE INTERACTION. CHEMICAL GEOLOGY, 182, 335-355.",BABB || IOAB,MORB,4,5,0,0,,False,TEST,False,VERIFIED_DIFFERENT_PUBLICATION,"Different titles, author lists, study regions, journals and DOI"
SINTON|2014,GEOROC|CITATION_ID|18767,PETDB|CITATION_SHA1|0868b733e6d34e17, [18767] SINTON J. M. (2014),"Sinton, C. W., Harpp, K. S., ... Christie, D. M. (2014). A PRELIMINARY SURVEY OF THE NORTHEAST SEAMOUNTS, GALÁPAGOS PLATFORM. A NATURAL LABORATORY FOR THE EARTH SCIENCES, 362.",OIB,MORB,62,13,0,0,,False,TRAIN,False,VERIFIED_DIFFERENT_PUBLICATION,"Different first-author initials, titles, venues and DOI"
