GEOROC_RECORD_ID,PETDB_RECORD_ID,REVIEW_DECISION,GEOROC_DOI,PETDB_DOI,VERIFICATION_BASIS
GEOROC|CITATION_ID|13694,PETDB|CITATION_SHA1|82e8cabda89651ea,VERIFIED_SAME_PUBLICATION,10.1029/2006GC001290,10.1029/2006GC001290,"Full title, seven-author list, year and journal match"
GEOROC|CITATION_ID|3166,PETDB|CITATION_SHA1|cd63c14785d91464,VERIFIED_DIFFERENT_PUBLICATION,10.1016/0025-3227(70)90022-8,10.1007/BF00388949,"Different titles, journals, volumes and page ranges"
GEOROC|CITATION_ID|14609,PETDB|CITATION_SHA1|ac9a0577d766b24b,VERIFIED_DIFFERENT_PUBLICATION,10.1016/j.gr.2010.03.006,10.1016/j.jvolgeores.2010.03.002,"Different first-author identity, title, journal and DOI"
GEOROC|CITATION_ID|14737,PETDB|CITATION_SHA1|ac9a0577d766b24b,VERIFIED_DIFFERENT_PUBLICATION,10.1016/j.lithos.2010.08.007,10.1016/j.jvolgeores.2010.03.002,"Different first-author identity, title, journal and DOI"
GEOROC|CITATION_ID|2282,PETDB|CITATION_SHA1|28bbd007be679513,VERIFIED_SAME_PUBLICATION,10.1016/0012-821X(76)90248-X,10.1016/0012-821X(76)90248-X,"Full title, three-author list, journal, volume and pages match"
GEOROC|CITATION_ID|6185,PETDB|CITATION_SHA1|1746f250834579fc,VERIFIED_DIFFERENT_PUBLICATION,10.1029/2002GC000335,10.1016/S0009-2541(01)00327-8,"Different titles, author lists, study regions, journals and DOI"
GEOROC|CITATION_ID|8351,PETDB|CITATION_SHA1|8b84ed2efbd4d540,VERIFIED_SAME_PUBLICATION,10.1029/2003GC000531,10.1029/2003GC000531,"Full title, four-author list, journal and DOI match"
GEOROC|CITATION_ID|2038,PETDB|CITATION_SHA1|802e20bd39425922,VERIFIED_SAME_PUBLICATION,10.1016/0009-2541(82)90051-1,10.1016/0009-2541(82)90051-1,"Full title, two-author list, journal, volume and pages match"
GEOROC|CITATION_ID|2260,PETDB|CITATION_SHA1|1396df762c8d132a,VERIFIED_SAME_PUBLICATION,10.1016/S0012-821X(00)00047-9,10.1016/S0012-821X(00)00047-9,"Full title, author list, journal, volume and pages match"
GEOROC|CITATION_ID|161,PETDB|CITATION_SHA1|d5a8236c6dd272f3,VERIFIED_SAME_PUBLICATION,10.1016/0016-7037(91)90318-Y,10.1016/0016-7037(91)90318-Y,"Full title, author, journal, volume and pages match"
GEOROC|CITATION_ID|18767,PETDB|CITATION_SHA1|0868b733e6d34e17,VERIFIED_DIFFERENT_PUBLICATION,10.1130/B30936.1,10.1002/9781118852538.ch16,"Different first-author initials, titles, venues and DOI"
GEOROC|CITATION_ID|656,PETDB|CITATION_SHA1|3429270165848020,VERIFIED_DIFFERENT_PUBLICATION,10.1007/BF00372322,,"Different titles, coauthors, study regions and publication venues"
GEOROC|CITATION_ID|11979,PETDB|CITATION_SHA1|a16cd5df509fde93,VERIFIED_SAME_PUBLICATION,10.1016/j.epsl.2008.02.026,10.1016/j.epsl.2008.02.026,"Full title, four-author list, journal, volume and pages match"
GEOROC|CITATION_ID|29214,PETDB|CITATION_SHA1|10cdd61e3ea84454,VERIFIED_DIFFERENT_PUBLICATION,10.1016/j.gca.2024.12.024,10.1029/2024GL111125,"Different first-author given name, author list, title, journal and DOI"
