DATABASE,LABEL,TIME_PERIOD,COARSE_LOCATION_TOKEN,n_samples,n_publications
GEOROC,BABB,2011_2025,IZU-BONIN-MARIANA ARC,85,8
GEOROC,BABB,2011_2025,TONGA ARC,46,3
GEOROC,BABB,through_2010,BISMARCK ARC - NEW BRITAIN ARC,126,7
GEOROC,BABB,through_2010,IZU-BONIN-MARIANA ARC,318,19
GEOROC,BABB,through_2010,TONGA ARC,650,29
GEOROC,CAB,2011_2025,ANDEAN ARC,516,49
GEOROC,CAB,through_2010,ANDEAN ARC,349,54
GEOROC,CFB,2011_2025,AUSTRALIA,114,4
GEOROC,CFB,2011_2025,AVANAVERA LARGE IGNEOUS PROVINCE,9,1
GEOROC,CFB,2011_2025,CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP,761,15
GEOROC,CFB,2011_2025,COMEI LARGE IGNEOUS PROVINCE,14,2
GEOROC,CFB,2011_2025,DECCAN,1075,28
GEOROC,CFB,2011_2025,EMEISHAN,374,29
GEOROC,CFB,2011_2025,ETENDEKA PROVINCE,84,2
GEOROC,CFB,2011_2025,ETHIOPIAN PLATEAU,106,11
GEOROC,CFB,2011_2025,FRANKLIN LARGE IGNEOUS PROVINCE,41,3
GEOROC,CFB,2011_2025,GUNBARREL IGNEOUS EVENT - MAMMOTH-WESTERN CHANNEL,42,1
GEOROC,CFB,2011_2025,HIGH ARCTIC LARGE IGNEOUS PROVINCE,114,6
GEOROC,CFB,2011_2025,KAROO AND FERRAR PROVINCES,645,6
GEOROC,CFB,2011_2025,KUZNETSK BASIN (KUZBASS) TRAPS,39,2
GEOROC,CFB,2011_2025,LAKE VICTORIA LARGE IGNEOUS PROVINCE,7,1
GEOROC,CFB,2011_2025,MACKENZIE LARGE IGNEOUS PROVINCE,19,1
GEOROC,CFB,2011_2025,MADAGASCAR FLOOD BASALT,41,4
GEOROC,CFB,2011_2025,MAIMECHA-KOTUI PROVINCE,1,1
GEOROC,CFB,2011_2025,MALANI MAGMATIC PROVINCE,1,1
GEOROC,CFB,2011_2025,MATACHEWAN LARGE IGNEOUS PROVINCE,114,3
GEOROC,CFB,2011_2025,MIDCONTINENT RIFT SYSTEM-KEWEENAWAN,1,1
GEOROC,CFB,2011_2025,NANDALING - YANSHAN BELT,5,1
GEOROC,CFB,2011_2025,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP),557,13
GEOROC,CFB,2011_2025,PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE,70,3
GEOROC,CFB,2011_2025,PARANA,656,20
GEOROC,CFB,2011_2025,QIANGTANG FLOOD BASALT PROVINCE,31,2
GEOROC,CFB,2011_2025,RAJAHMUNDRY TRAPS,8,1
GEOROC,CFB,2011_2025,RAJMAHAL-BENGAL-SYLHET,12,1
GEOROC,CFB,2011_2025,SIBERIAN TRAPS,232,14
GEOROC,CFB,2011_2025,TARIM LARGE IGNEOUS PROVINCE,119,10
GEOROC,CFB,2011_2025,UMKONDO LARGE IGNEOUS PROVINCE,67,1
GEOROC,CFB,2011_2025,YELLOWSTONE-SNAKE RIVER PLAIN VOLCANIC PROVINCE,406,19
GEOROC,CFB,2011_2025,YEMEN PLATEAU,3,1
GEOROC,CFB,through_2010,AUSTRALIA,142,14
GEOROC,CFB,through_2010,CENTRAL ATLANTIC MAGMATIC PROVINCE - CAMP,515,30
GEOROC,CFB,through_2010,CHILCOTIN PLATEAU BASALTS,44,4
GEOROC,CFB,through_2010,COMEI LARGE IGNEOUS PROVINCE,17,2
GEOROC,CFB,through_2010,DECCAN,1580,81
GEOROC,CFB,through_2010,EMEISHAN,497,24
GEOROC,CFB,through_2010,ETENDEKA PROVINCE,81,11
GEOROC,CFB,through_2010,ETHIOPIAN PLATEAU,362,14
GEOROC,CFB,through_2010,FRANKLIN LARGE IGNEOUS PROVINCE,25,2
GEOROC,CFB,through_2010,HIGH ARCTIC LARGE IGNEOUS PROVINCE,129,9
GEOROC,CFB,through_2010,KAROO AND FERRAR PROVINCES,970,39
GEOROC,CFB,through_2010,KUZNETSK BASIN (KUZBASS) TRAPS,13,2
GEOROC,CFB,through_2010,MACKENZIE LARGE IGNEOUS PROVINCE,259,7
GEOROC,CFB,through_2010,MADAGASCAR FLOOD BASALT,228,10
GEOROC,CFB,through_2010,MALANI MAGMATIC PROVINCE,15,5
GEOROC,CFB,through_2010,MARATHON LARGE IGNEOUS PROVINCE,22,2
GEOROC,CFB,through_2010,MATACHEWAN LARGE IGNEOUS PROVINCE,171,12
GEOROC,CFB,through_2010,MIDCONTINENT RIFT SYSTEM-KEWEENAWAN,221,18
GEOROC,CFB,through_2010,NANDALING - YANSHAN BELT,19,2
GEOROC,CFB,through_2010,NILUFER UNIT - YENISEHIR ASSOCIATION - PONTIDES,11,1
GEOROC,CFB,through_2010,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP),1965,94
GEOROC,CFB,through_2010,NORTH GREENLAND PROTEROZOIC,26,2
GEOROC,CFB,through_2010,PANJAL-SOUTH QIANGTANG LARGE IGNEOUS PROVINCE,38,5
GEOROC,CFB,through_2010,PARANA,822,31
GEOROC,CFB,through_2010,RAJAHMUNDRY TRAPS,34,5
GEOROC,CFB,through_2010,RAJMAHAL-BENGAL-SYLHET,131,8
GEOROC,CFB,through_2010,RAMPUR-GARHWAL-MANDI-DARLA PROVINCE,70,2
GEOROC,CFB,through_2010,SIBERIAN TRAPS,399,19
GEOROC,CFB,through_2010,SOUTH TETHYAN SUTURE ZONE - PAKISTAN,9,1
GEOROC,CFB,through_2010,TARIM LARGE IGNEOUS PROVINCE,97,7
GEOROC,CFB,through_2010,TIBESTI VOLCANIC PROVINCE,4,1
GEOROC,CFB,through_2010,UMKONDO LARGE IGNEOUS PROVINCE,3,1
GEOROC,CFB,through_2010,WRANGELLIA,227,8
GEOROC,CFB,through_2010,YELLOWSTONE-SNAKE RIVER PLAIN VOLCANIC PROVINCE,2514,53
GEOROC,CFB,through_2010,YEMEN PLATEAU,137,6
GEOROC,CFB,unknown_year,MATACHEWAN LARGE IGNEOUS PROVINCE,9,1
GEOROC,IAB,2011_2025,HONSHU ARC,563,32
GEOROC,IAB,through_2010,HONSHU ARC,2143,227
GEOROC,IOAB,2011_2025,IZU-BONIN-MARIANA ARC,59,7
GEOROC,IOAB,2011_2025,KERMADEC ARC,5,2
GEOROC,IOAB,through_2010,IZU-BONIN-MARIANA ARC,311,45
GEOROC,IOAB,through_2010,KERMADEC ARC,171,11
GEOROC,MORB,2011_2025,BOLLONS FRACTURE ZONE,2,1
GEOROC,MORB,2011_2025,CAPE VERDE RIDGE,3,1
GEOROC,MORB,2011_2025,NINETYEAST RIDGE,63,1
GEOROC,MORB,2011_2025,STALEMATE RIDGE,9,1
GEOROC,MORB,through_2010,BROKEN RIDGE,32,2
GEOROC,MORB,through_2010,CARNEGIE RIDGE,5,1
GEOROC,MORB,through_2010,CHAGOS-LACCADIVE RIDGE,3,1
GEOROC,MORB,through_2010,COCOS RIDGE,3,3
GEOROC,MORB,through_2010,COIBA RIDGE,1,1
GEOROC,MORB,through_2010,GALAPAGOS RIDGE,158,5
GEOROC,MORB,through_2010,J-ANOMALY RIDGE,3,1
GEOROC,MORB,through_2010,KARIN RIDGE,5,1
GEOROC,MORB,through_2010,KELI RIDGE,1,1
GEOROC,MORB,through_2010,MADAGASCAR RIDGE,3,1
GEOROC,MORB,through_2010,MENDOZA RIFT,6,1
GEOROC,MORB,through_2010,MIDDLE AMERICA TRENCH,1,1
GEOROC,MORB,through_2010,NINETYEAST RIDGE,132,8
GEOROC,MORB,through_2010,WALVIS RIDGE,152,6
GEOROC,OIB,2011_2025,AHU VOLCANIC FIELD,1,1
GEOROC,OIB,2011_2025,AMSTERDAM-ST. PAUL,2,1
GEOROC,OIB,2011_2025,ASCENSION,18,4
GEOROC,OIB,2011_2025,AUSTRAL-COOK ISLANDS,85,8
GEOROC,OIB,2011_2025,AZORES,784,16
GEOROC,OIB,2011_2025,CAMEROON LINE,44,1
GEOROC,OIB,2011_2025,CANARY ISLANDS,32,7
GEOROC,OIB,2011_2025,CAPE VERDE ISLANDS,29,3
GEOROC,OIB,2011_2025,CAROLINE ISLANDS,12,1
GEOROC,OIB,2011_2025,CHRISTMAS ISLAND SEAMOUNT PROVINCE,4,1
GEOROC,OIB,2011_2025,COMOROS,17,5
GEOROC,OIB,2011_2025,CROZET ISLANDS,39,3
GEOROC,OIB,2011_2025,DESVENTURADOS ISLANDS,4,1
GEOROC,OIB,2011_2025,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE,3,2
GEOROC,OIB,2011_2025,FERNANDO DE NORONHA ARCHIPELAGO,18,3
GEOROC,OIB,2011_2025,GALAPAGOS ISLANDS,177,4
GEOROC,OIB,2011_2025,GOUGH CHAIN,12,1
GEOROC,OIB,2011_2025,HAINAN ISLAND,278,7
GEOROC,OIB,2011_2025,HAWAIIAN ISLANDS,500,19
GEOROC,OIB,2011_2025,HAWAIIAN-EMPEROR CHAIN,4,1
GEOROC,OIB,2011_2025,ICELAND,624,31
GEOROC,OIB,2011_2025,JAN MAYEN,7,1
GEOROC,OIB,2011_2025,JUAN FERNANDEZ ISLANDS,61,2
GEOROC,OIB,2011_2025,KERGUELEN,3,1
GEOROC,OIB,2011_2025,LEIZHOU PENINSULA,67,1
GEOROC,OIB,2011_2025,LORD HOWE TRACK,23,1
GEOROC,OIB,2011_2025,MARION ISLANDS,34,1
