DATABASE,LABEL,TIME_PERIOD,n_samples,n_publications
GEOROC,BABB,2011_2025,131,11
GEOROC,BABB,through_2010,1094,51
GEOROC,CAB,2011_2025,516,49
GEOROC,CAB,through_2010,349,54
GEOROC,CFB,2011_2025,5768,205
GEOROC,CFB,through_2010,11797,516
GEOROC,CFB,unknown_year,9,1
GEOROC,IAB,2011_2025,563,32
GEOROC,IAB,through_2010,2143,227
GEOROC,IOAB,2011_2025,64,9
GEOROC,IOAB,through_2010,482,55
GEOROC,MORB,2011_2025,77,4
GEOROC,MORB,through_2010,505,26
GEOROC,OIB,2011_2025,3353,142
GEOROC,OIB,through_2010,14958,697
GEOROC,OPB,2011_2025,324,12
GEOROC,OPB,through_2010,1536,75
PetDB,MORB,2011_2025,1145,67
PetDB,MORB,through_2010,3589,236
