CV_GROUP_V4,n_samples,n_labels,labels,databases,years
PAPER|GEOROC|CITATION_ID|1001,16,1,OIB,GEOROC,1988
PAPER|GEOROC|CITATION_ID|10020,9,1,CAB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10024,9,1,CFB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|1006,7,1,OIB,GEOROC,1994
PAPER|GEOROC|CITATION_ID|10062,6,1,OIB,GEOROC,1990
PAPER|GEOROC|CITATION_ID|1007,11,1,OIB,GEOROC,1994
PAPER|GEOROC|CITATION_ID|1008,6,1,OIB,GEOROC,1993
PAPER|GEOROC|CITATION_ID|1013,18,1,OPB,GEOROC,1991
PAPER|GEOROC|CITATION_ID|10133,15,1,OIB,GEOROC,1995
PAPER|GEOROC|CITATION_ID|10155,13,1,CFB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10156,17,1,OPB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10164,10,1,OIB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10193,43,1,IAB,GEOROC,1994
PAPER|GEOROC|CITATION_ID|10205,5,1,CAB,GEOROC,1981
PAPER|GEOROC|CITATION_ID|1021,6,1,OIB,GEOROC,1997
PAPER|GEOROC|CITATION_ID|10228,9,1,CAB,GEOROC,1991
PAPER|GEOROC|CITATION_ID|10281,62,1,OIB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10282,58,1,OIB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10315,32,1,OIB,GEOROC,1990
PAPER|GEOROC|CITATION_ID|1033,5,1,OIB,GEOROC,1973
PAPER|GEOROC|CITATION_ID|10354,1,1,IAB,GEOROC,1965
PAPER|GEOROC|CITATION_ID|1036,1,1,OIB,GEOROC,1970
PAPER|GEOROC|CITATION_ID|1037,2,1,OIB,GEOROC,1969
PAPER|GEOROC|CITATION_ID|10372,4,1,CFB,GEOROC,2001
PAPER|GEOROC|CITATION_ID|10373,3,1,CFB,GEOROC,1995
PAPER|GEOROC|CITATION_ID|1038,32,1,OIB,GEOROC,1969
PAPER|GEOROC|CITATION_ID|10384,8,1,CFB,GEOROC,1993
PAPER|GEOROC|CITATION_ID|1040,4,1,OIB,GEOROC,1966
PAPER|GEOROC|CITATION_ID|10402,3,1,CAB,GEOROC,1984
PAPER|GEOROC|CITATION_ID|10406,26,1,IAB,GEOROC,2006
PAPER|GEOROC|CITATION_ID|10418,13,1,CFB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|1042,1,1,OIB,GEOROC,1984
PAPER|GEOROC|CITATION_ID|1043,2,1,OIB,GEOROC,1984
PAPER|GEOROC|CITATION_ID|10437,10,1,OIB,GEOROC,1989
PAPER|GEOROC|CITATION_ID|1044,3,1,OIB,GEOROC,1984
PAPER|GEOROC|CITATION_ID|1046,17,1,OIB,GEOROC,1983
PAPER|GEOROC|CITATION_ID|10485,3,1,IAB,GEOROC,1986
PAPER|GEOROC|CITATION_ID|10488,12,1,IAB,GEOROC,1990
PAPER|GEOROC|CITATION_ID|1052,3,1,OIB,GEOROC,1983
PAPER|GEOROC|CITATION_ID|10529,54,1,CFB,GEOROC,2002
PAPER|GEOROC|CITATION_ID|10546,88,1,OPB,GEOROC,2004
PAPER|GEOROC|CITATION_ID|10548,58,1,OPB,GEOROC,2004
PAPER|GEOROC|CITATION_ID|10552,14,1,OPB,GEOROC,2004
PAPER|GEOROC|CITATION_ID|1056,305,1,OIB,GEOROC,1982
PAPER|GEOROC|CITATION_ID|10562,25,1,IAB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10567,33,1,OIB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10578,31,1,OIB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10583,2,1,OPB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|1060,5,1,OIB,GEOROC,1982
PAPER|GEOROC|CITATION_ID|10608,5,2,BABB|OIB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|1061,18,1,OIB,GEOROC,1982
PAPER|GEOROC|CITATION_ID|10621,6,1,OIB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10626,58,1,CFB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|1064,4,1,OIB,GEOROC,1981
PAPER|GEOROC|CITATION_ID|10641,10,1,CFB,GEOROC,2007
PAPER|GEOROC|CITATION_ID|10644,4,1,CAB,GEOROC,1976
