RAW_TECTONIC_SETTING,LABEL,n_samples,n_publications
CONTINENTAL FLOOD BASALT,CFB,17574,722
"CONTINENTAL RIFT,SPREADING CENTER",MORB,1,1
"FRACTURE ZONE,SPREADING CENTER",MORB,29,13
OCEAN ISLAND,OIB,18311,839
OCEANIC PLATEAU,OPB,1860,87
"OCEANIC PLATEAU,SPREADING CENTER",MORB,1,1
"OFF-AXIS SPREADING CENTER,SPREADING CENTER",MORB,2,2
"OLD OCEANIC CRUST,SPREADING CENTER",MORB,3,2
"SEAMOUNT,SPREADING CENTER",MORB,16,2
SPREADING CENTER,MORB,4639,296
SUBMARINE RIDGE,MORB,582,30
[blank],BABB,1225,62
[blank],CAB,865,103
[blank],IAB,2706,259
[blank],IOAB,546,64
[blank],MORB,43,8
