DATABASE,source_file,LABEL,n_samples,n_publications
GEOROC,BABB_BA_standard.csv,BABB,126,7
GEOROC,BABB_LAU_standard.csv,BABB,696,32
GEOROC,BABB_MT_standard.csv,BABB,403,27
GEOROC,CAB-1_standard.csv,CAB,269,50
GEOROC,CAB-2_standard.csv,CAB,596,82
GEOROC,CFB_ALL.csv,CFB,17574,722
GEOROC,IAB-2_standard.csv,IAB,2706,259
GEOROC,IOAB-2_standard.csv,IOAB,176,13
GEOROC,IOAB_standard_filtered.csv,IOAB,370,52
GEOROC,MORB_filter.csv,MORB,582,30
GEOROC,OIB_ALL.csv,OIB,18311,839
GEOROC,OPB_ALL.csv,OPB,1860,87
PetDB,PetDB_2026-08-11,MORB,4734,303
