model,fold,n_train_raw,n_valid_raw,n_train_used,n_valid_used,n_features,accuracy,balanced_accuracy,macro_f1,seconds,f1_CAB,f1_IAB,f1_IOAB,f1_BABB,f1_MORB,f1_OIB,f1_OPB,f1_CFB
XGBoost,0,30075,8019,28066,7799,19,0.8288242082318246,0.7326560502352804,0.7013410371268857,3.6654880046844482,0.585635359116022,0.6106346483704974,0.8327645051194539,0.4945054945054945,0.7917525773195876,0.9049128367670365,0.5777777777777777,0.8127450980392157
RandomForest,0,30075,8019,28066,7799,19,0.7997179125528914,0.6008638126590318,0.6318070440073624,1.9873449802398682,0.7401574803149606,0.5557809330628803,0.6771653543307087,0.35526315789473684,0.7689856611789697,0.8979753870583564,0.30049261083743845,0.7586357673808483
RBF-SVM,0,30075,8019,28066,7799,19,0.7725349403769715,0.7112263828362234,0.6245386968032691,25.13225245475769,0.502283105022831,0.5579937304075235,0.8227848101265823,0.3393213572854291,0.6688851913477537,0.8909875876956287,0.4447031431897555,0.7693506493506493
XGBoost,1,30536,7558,28667,7198,19,0.8080022228396777,0.6324966272987358,0.6359079256420839,3.6545050144195557,0.6622516556291391,0.6463963963963963,0.6336633663366337,0.47,0.6986970684039088,0.8504072010287184,0.25120772946859904,0.8746399878732757
RandomForest,1,30536,7558,28667,7198,19,0.7879966657404834,0.5577711234119016,0.5987578385216112,2.055698871612549,0.6370370370370371,0.5905848787446505,0.6326530612244898,0.47619047619047616,0.6597110754414125,0.8221586263287,0.11920529801324503,0.8525222551928784
RBF-SVM,1,30536,7558,28667,7198,19,0.7383995554320645,0.61463875432648,0.5670690321093154,24.987233877182007,0.6628242074927954,0.579175704989154,0.5950413223140496,0.3333333333333333,0.5538707102952913,0.8266488413547237,0.1648854961832061,0.8207726409119696
XGBoost,2,29408,8686,28023,7842,19,0.824407039020658,0.7197159828565651,0.6944319134421669,3.671052932739258,0.8566243194192378,0.598159509202454,0.6666666666666666,0.5668202764976958,0.72625,0.8932038834951457,0.3852140077821012,0.8625166444740346
RandomForest,2,29408,8686,28023,7842,19,0.8152257077276205,0.6229013812039592,0.6669132317252486,2.0192999839782715,0.7368421052631579,0.525,0.6976744186046512,0.6752411575562701,0.700066800267201,0.880349051854338,0.26666666666666666,0.8534656535897038
RBF-SVM,2,29408,8686,28023,7842,19,0.7634532007141035,0.6990325248700262,0.6106071372636093,23.50469732284546,0.7746243739565943,0.5245441795231417,0.5,0.4129692832764505,0.6367041198501873,0.8727524204702628,0.3585185185185185,0.8047442025137193
XGBoost,3,31273,6821,29490,6375,19,0.7945098039215687,0.6455046114360314,0.6400181642279675,3.7134993076324463,0.7361111111111112,0.6747967479674797,0.3025210084033613,0.6490066225165563,0.8077645585472761,0.8776796973518285,0.2620320855614973,0.8102334823646299
RandomForest,3,31273,6821,29490,6375,19,0.7846274509803921,0.5794361144673132,0.6091049653790013,2.1046979427337646,0.823045267489712,0.7266187050359713,0.14814814814814814,0.5772357723577236,0.7932159165035877,0.870251193689018,0.15942028985507245,0.7749044299527772
RBF-SVM,3,31273,6821,29490,6375,19,0.7413333333333333,0.6652473627759266,0.6031653745764647,24.612020254135132,0.5423728813559322,0.5881188118811881,0.5045871559633027,0.6015503875968993,0.7326860841423948,0.8496481126039668,0.23107569721115537,0.7752838658568788
XGBoost,4,31084,7010,29214,6651,19,0.8288979100887085,0.7351361510040768,0.7300704276274343,3.726810932159424,0.6554621848739496,0.6100478468899522,0.8433734939759037,0.7117296222664016,0.8028713418001104,0.9015921734126223,0.46648793565683644,0.8489988221436985
RandomForest,4,31084,7010,29214,6651,19,0.824688016839573,0.6139641984400954,0.6610893171928278,2.030836820602417,0.5767441860465117,0.5818181818181818,0.6268656716417911,0.6517857142857143,0.7909090909090909,0.9128866957676979,0.3153526970954357,0.8323522999781993
RBF-SVM,4,31084,7010,29214,6651,19,0.7477071117125245,0.7030641466825671,0.6258036945907914,23.764030694961548,0.5754385964912281,0.5234285714285715,0.6226415094339622,0.6201550387596899,0.7354765933446137,0.8630705394190872,0.3056910569105691,0.7605276509386099
