bin,lower,upper,n,coverage,mean_confidence,accuracy,gap,ece_contribution
1,0.0,0.1,0,0.0,,,,0.0
2,0.1,0.2,0,0.0,,,,0.0
3,0.2,0.30000000000000004,53,0.0014777638366095078,0.28175764113207546,0.20754716981132076,0.0742104713207547,0.00010966555081555831
4,0.30000000000000004,0.4,564,0.015725637808448347,0.36271363434397164,0.3280141843971631,0.034699449946808514,0.0005456709820158929
5,0.4,0.5,1569,0.043747386030949395,0.45723840343530914,0.4251115360101976,0.03212686742511156,0.0014054664712114886
6,0.5,0.6000000000000001,2654,0.0739997211766346,0.5498724739223814,0.5033911077618689,0.04648136616051246,0.003439608135786981
7,0.6000000000000001,0.7000000000000001,2679,0.07469677959012966,0.6506304388279209,0.6091825307950728,0.041447908032848146,0.0030960252508016226
8,0.7000000000000001,0.8,3301,0.09203959291788652,0.7525637174946984,0.7049378976067858,0.04762581988791259,0.0043834610748640585
9,0.8,0.9,4840,0.13495050885264184,0.8544114309876033,0.8119834710743802,0.04242795991322312,0.005725674779868951
10,0.9,1.0,20205,0.5633626097867002,0.9707236586453847,0.9570898292501856,0.013633829395199082,0.007680789709465983
