training_design,repeat,cohort,n_test_samples,n_test_publications,sample_recall,publication_equal_recall,retained_morb_petdb_fraction
full_exclusive_support,0,GEOROC_frozen_test_MORB,150,4,0.44,0.3875634270101483,
full_exclusive_support,0,PetDB_frozen_test_MORB,757,61,0.8599735799207398,0.8563455715504896,
georoc_only_support,0,GEOROC_frozen_test_MORB,150,4,0.03333333333333333,0.01986566484517304,
georoc_only_support,0,PetDB_frozen_test_MORB,757,61,0.0607661822985469,0.053188539087177335,
support_matched_random_MORB,1,GEOROC_frozen_test_MORB,150,4,0.03333333333333333,0.01986566484517304,0.9962546816479401
support_matched_random_MORB,1,PetDB_frozen_test_MORB,757,61,0.39365918097754293,0.3600954967127548,0.9962546816479401
support_matched_random_MORB,2,GEOROC_frozen_test_MORB,150,4,0.08,0.04918032786885246,0.9775280898876404
support_matched_random_MORB,2,PetDB_frozen_test_MORB,757,61,0.45046235138705415,0.41074836495945394,0.9775280898876404
support_matched_random_MORB,3,GEOROC_frozen_test_MORB,150,4,0.02,0.012295081967213115,0.9438202247191011
support_matched_random_MORB,3,PetDB_frozen_test_MORB,757,61,0.3381770145310436,0.30527745556466906,0.9438202247191011
support_matched_random_MORB,4,GEOROC_frozen_test_MORB,150,4,0.02,0.011668943533697632,1.0
support_matched_random_MORB,4,PetDB_frozen_test_MORB,757,61,0.5033025099075297,0.48872291619707875,1.0
support_matched_random_MORB,5,GEOROC_frozen_test_MORB,150,4,0.013333333333333334,0.00819672131147541,1.0
support_matched_random_MORB,5,PetDB_frozen_test_MORB,757,61,0.523117569352708,0.4470275731935428,1.0
support_matched_random_MORB,6,GEOROC_frozen_test_MORB,150,4,0.04666666666666667,0.028688524590163935,0.846441947565543
support_matched_random_MORB,6,PetDB_frozen_test_MORB,757,61,0.34214002642007924,0.2937064220967136,0.846441947565543
support_matched_random_MORB,7,GEOROC_frozen_test_MORB,150,4,0.03333333333333333,0.020491803278688523,0.8352059925093633
support_matched_random_MORB,7,PetDB_frozen_test_MORB,757,61,0.4861294583883752,0.41645772717179846,0.8352059925093633
support_matched_random_MORB,8,GEOROC_frozen_test_MORB,150,4,0.05333333333333334,0.06252439500390321,0.8913857677902621
support_matched_random_MORB,8,PetDB_frozen_test_MORB,757,61,0.5548216644649934,0.5036409631329352,0.8913857677902621
support_matched_random_MORB,9,GEOROC_frozen_test_MORB,150,4,0.02,0.043911007025761124,0.951310861423221
support_matched_random_MORB,9,PetDB_frozen_test_MORB,757,61,0.37912813738441214,0.3178807025911445,0.951310861423221
support_matched_random_MORB,10,GEOROC_frozen_test_MORB,150,4,0.02,0.012295081967213115,0.9850187265917603
support_matched_random_MORB,10,PetDB_frozen_test_MORB,757,61,0.45442536327608984,0.4861537512785307,0.9850187265917603
support_matched_random_MORB,11,GEOROC_frozen_test_MORB,150,4,0.02666666666666667,0.04613095238095238,0.7602996254681648
support_matched_random_MORB,11,PetDB_frozen_test_MORB,757,61,0.3817701453104359,0.33305596303204815,0.7602996254681648
support_matched_random_MORB,12,GEOROC_frozen_test_MORB,150,4,0.0,0.0,0.850187265917603
support_matched_random_MORB,12,PetDB_frozen_test_MORB,757,61,0.3817701453104359,0.29550587440025483,0.850187265917603
support_matched_random_MORB,13,GEOROC_frozen_test_MORB,150,4,0.006666666666666667,0.004098360655737705,1.0
support_matched_random_MORB,13,PetDB_frozen_test_MORB,757,61,0.5270805812417437,0.4718025107646032,1.0
support_matched_random_MORB,14,GEOROC_frozen_test_MORB,150,4,0.02,0.012295081967213115,0.8876404494382022
support_matched_random_MORB,14,PetDB_frozen_test_MORB,757,61,0.28269484808454426,0.21532829160567654,0.8876404494382022
support_matched_random_MORB,15,GEOROC_frozen_test_MORB,150,4,0.05333333333333334,0.06440281030444965,1.0
support_matched_random_MORB,15,PetDB_frozen_test_MORB,757,61,0.33553500660501984,0.32188348705004743,1.0
support_matched_random_MORB,16,GEOROC_frozen_test_MORB,150,4,0.02,0.012295081967213115,0.9325842696629213
support_matched_random_MORB,16,PetDB_frozen_test_MORB,757,61,0.40290620871862615,0.4186991723338649,0.9325842696629213
support_matched_random_MORB,17,GEOROC_frozen_test_MORB,150,4,0.14,0.08543943533697632,0.9588014981273408
support_matched_random_MORB,17,PetDB_frozen_test_MORB,757,61,0.3527080581241744,0.3347475512924551,0.9588014981273408
support_matched_random_MORB,18,GEOROC_frozen_test_MORB,150,4,0.0,0.0,0.8913857677902621
support_matched_random_MORB,18,PetDB_frozen_test_MORB,757,61,0.1334214002642008,0.16505496492249505,0.8913857677902621
support_matched_random_MORB,19,GEOROC_frozen_test_MORB,150,4,0.07333333333333333,0.045081967213114756,0.9887640449438202
support_matched_random_MORB,19,PetDB_frozen_test_MORB,757,61,0.47688243064729197,0.3953618045259077,0.9887640449438202
support_matched_random_MORB,20,GEOROC_frozen_test_MORB,150,4,0.0,0.0,0.8951310861423221
support_matched_random_MORB,20,PetDB_frozen_test_MORB,757,61,0.2311756935270806,0.22335364601115623,0.8951310861423221
