CV_GROUP_V4,TRUE_LABEL,n_samples,accuracy,mean_max_probability,mean_entropy,mean_element_coverage,publication_year,database
PAPER|GEOROC|CITATION_ID|10164,OIB,10,1.0,0.957330301,0.1609873057,19.0,2007.0,GEOROC
PAPER|GEOROC|CITATION_ID|10281,OIB,62,0.9838709677419355,0.9709519748387097,0.13118375962903228,17.548387096774192,2007.0,GEOROC
PAPER|GEOROC|CITATION_ID|1036,OIB,1,0.0,0.90075576,0.41571882,10.0,1970.0,GEOROC
PAPER|GEOROC|CITATION_ID|10384,CFB,8,0.875,0.9207017200000001,0.3315319675,19.0,1993.0,GEOROC
PAPER|GEOROC|CITATION_ID|10552,OPB,14,0.42857142857142855,0.7294197721428571,0.7635344415714286,18.928571428571427,2004.0,GEOROC
PAPER|GEOROC|CITATION_ID|10567,OIB,33,0.9090909090909091,0.89057136,0.337910992,17.727272727272727,2007.0,GEOROC
PAPER|GEOROC|CITATION_ID|10583,OPB,2,0.0,0.66927835,0.9509889,18.0,2007.0,GEOROC
PAPER|GEOROC|CITATION_ID|10641,CFB,10,1.0,0.873465156,0.38183830539999997,19.0,2007.0,GEOROC
PAPER|GEOROC|CITATION_ID|1075,OIB,25,0.6,0.7033272436,0.6709940096,17.36,1978.0,GEOROC
PAPER|GEOROC|CITATION_ID|1077,OIB,2,0.0,0.9296364500000001,0.276218169,14.0,1978.0,GEOROC
PAPER|GEOROC|CITATION_ID|1126,OIB,80,0.9125,0.8285163491249999,0.49813675017500003,16.475,1995.0,GEOROC
PAPER|GEOROC|CITATION_ID|11342,IAB,17,0.058823529411764705,0.6618516576470588,0.9116946088235295,18.823529411764707,2008.0,GEOROC
PAPER|GEOROC|CITATION_ID|1139,OIB,24,0.875,0.8281751325000001,0.5523221929166667,10.0,1983.0,GEOROC
PAPER|GEOROC|CITATION_ID|11395,OIB,11,1.0,0.9302966572727273,0.2902671581818182,18.0,2002.0,GEOROC
PAPER|GEOROC|CITATION_ID|1155,OIB,1,1.0,0.92710376,0.28721666,10.0,1991.0,GEOROC
PAPER|GEOROC|CITATION_ID|1157,OIB,2,1.0,0.84767965,0.5338941150000001,10.0,1969.0,GEOROC
PAPER|GEOROC|CITATION_ID|11716,IAB,17,0.5882352941176471,0.7464137235294118,0.621039814117647,18.58823529411765,2008.0,GEOROC
PAPER|GEOROC|CITATION_ID|11773,CAB,8,0.625,0.9454981825,0.21327583,19.0,2005.0,GEOROC
PAPER|GEOROC|CITATION_ID|11858,CFB,40,1.0,0.9566999795,0.16036497757499998,18.0,2008.0,GEOROC
PAPER|GEOROC|CITATION_ID|11897,CFB,5,0.6,0.7165531279999999,0.7129207794,19.0,2008.0,GEOROC
PAPER|GEOROC|CITATION_ID|1192,OIB,40,1.0,0.95929720025,0.1675192134,17.0,1988.0,GEOROC
PAPER|GEOROC|CITATION_ID|12036,CFB,17,1.0,0.9235311023529412,0.26528367794117647,19.0,2004.0,GEOROC
PAPER|GEOROC|CITATION_ID|12114,IAB,1,1.0,0.8992149,0.42033812,19.0,1992.0,GEOROC
PAPER|GEOROC|CITATION_ID|1220,OIB,13,0.7692307692307693,0.7191578392307693,0.6934369300000001,12.0,1986.0,GEOROC
PAPER|GEOROC|CITATION_ID|12274,CFB,19,0.5789473684210527,0.8309912694736843,0.4961416227894737,18.894736842105264,2008.0,GEOROC
PAPER|GEOROC|CITATION_ID|1231,OIB,12,0.9166666666666666,0.84902972,0.5103196408333334,10.0,1972.0,GEOROC
PAPER|GEOROC|CITATION_ID|1233,OIB,1,1.0,0.99594927,0.029815929,10.0,1987.0,GEOROC
PAPER|GEOROC|CITATION_ID|12334,CFB,14,1.0,0.8954807942857143,0.38505578964285714,18.0,2008.0,GEOROC
PAPER|GEOROC|CITATION_ID|12535,BABB,3,0.3333333333333333,0.58363065,0.94223628,17.0,2008.0,GEOROC
PAPER|GEOROC|CITATION_ID|1260,OIB,4,0.0,0.738775575,0.71385689,11.5,1971.0,GEOROC
