fold,method,n_train,n_valid,accuracy,balanced_accuracy,macro_f1
0,native_missing,28066,7799,0.829849980766765,0.7353117916137772,0.7007959250329365
0,fold_median_imputed,28066,7799,0.8301064239005,0.7352531865410936,0.7026323950697929
1,native_missing,28667,7198,0.8114754098360656,0.6313788316819242,0.6377518934689382
1,fold_median_imputed,28667,7198,0.8038343984440123,0.6254586416419152,0.6281127347158924
2,native_missing,28023,7842,0.829507778627901,0.7250107959406713,0.7016500755483772
2,fold_median_imputed,28023,7842,0.8279775567457281,0.714764762535175,0.6974136333341069
3,native_missing,29490,6375,0.7963921568627451,0.6406700967910164,0.6376735273468177
3,fold_median_imputed,29490,6375,0.7945098039215687,0.640375824187295,0.6381379420243888
4,native_missing,29214,6651,0.8301007367313186,0.7312549400731553,0.7305698194038255
4,fold_median_imputed,29214,6651,0.8272440234551195,0.7332040636988708,0.7304810066661314
