threshold,fold,train_raw_n,train_retained_n,train_retention,valid_raw_n,valid_retained_n,valid_retention,accuracy,balanced_accuracy,macro_f1
8,0,30075,29590,0.9838736492103075,8019,7909,0.9862825788751715,0.8270324946263751,0.7250371875951167,0.6958049197371315
8,1,30536,30100,0.9857217710243646,7558,7399,0.9789626885419423,0.8107852412488175,0.6311155349617084,0.636496100774461
8,2,29408,28951,0.9844600108813928,8686,8548,0.9841123647248445,0.8380907814693496,0.7306191593062611,0.7095413881506113
8,3,31273,30753,0.9833722380328078,6821,6746,0.9890045447881542,0.7995849392232434,0.6383515694790902,0.6359872807148932
8,4,31084,30602,0.9844936301634282,7010,6897,0.9838801711840228,0.82557633753806,0.7329494224389017,0.7280725413340671
10,0,30075,28066,0.9332003325020781,8019,7799,0.9725651577503429,0.829849980766765,0.7353117916137772,0.7007959250329365
10,1,30536,28667,0.938793555148022,7558,7198,0.9523683514157184,0.8114754098360656,0.6313788316819242,0.6377518934689382
10,2,29408,28023,0.9529039717083787,8686,7842,0.9028321436794843,0.829507778627901,0.7250107959406713,0.7016500755483772
10,3,31273,29490,0.9429859623317238,6821,6375,0.9346136930068905,0.7963921568627451,0.6406700967910164,0.6376735273468177
10,4,31084,29214,0.9398404323767855,7010,6651,0.9487874465049929,0.8301007367313186,0.7312549400731553,0.7305698194038255
12,0,30075,21265,0.7070656691604322,8019,5754,0.7175458286569397,0.7994438651372958,0.6997549213850813,0.6806232937335233
12,1,30536,21384,0.7002881844380403,7558,5635,0.7455676104789627,0.85377107364685,0.7050093977087722,0.7194320476310903
12,2,29408,20981,0.7134453210010882,8686,6038,0.6951416071839742,0.8401788671745611,0.7183926109944018,0.7279453084173393
12,3,31273,22178,0.709174047900745,6821,4841,0.7097199824072716,0.8064449493906217,0.6163306000099911,0.6114494062894122
12,4,31084,22268,0.7163814180929096,7010,4751,0.6777460770328103,0.8358240370448327,0.7497537651864635,0.7365936951675836
