scheme,missing_threshold,fold,n_features,min_required_features,completeness_ratio,selected_features,train_raw_n,train_retained_n,train_retention,valid_raw_n,valid_retained_n,valid_retention,accuracy,balanced_accuracy,macro_f1
Stable-40,0.4,0,16,9,0.5625,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|BA(PPM),30075,29423,0.9783208645054031,8019,7885,0.9832896869933907,0.8167406467977172,0.7212387197570121,0.6886841227852879
Stable-40,0.4,1,16,9,0.5625,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|BA(PPM),30536,30003,0.9825451925596018,7558,7305,0.9665255358560466,0.8020533880903491,0.6266547410734906,0.6268300543445294
Stable-40,0.4,2,18,10,0.5555555555555556,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),29408,28003,0.9522238846572362,8686,7819,0.9001842044669583,0.829389947563627,0.7348699756036781,0.7083452860691986
Stable-40,0.4,3,18,10,0.5555555555555556,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),31273,29448,0.9416429507882199,6821,6374,0.9344670869373992,0.8015374960778161,0.6506531019809276,0.6482332291960741
Stable-40,0.4,4,18,10,0.5555555555555556,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),31084,29179,0.9387144511645863,7010,6643,0.9476462196861626,0.8285413216920067,0.7273873290794655,0.7294643712718294
Stable-50,0.5,0,19,10,0.5263157894736842,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),30075,28066,0.9332003325020781,8019,7799,0.9725651577503429,0.829849980766765,0.7353117916137772,0.7007959250329365
Stable-50,0.5,1,19,10,0.5263157894736842,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),30536,28667,0.938793555148022,7558,7198,0.9523683514157184,0.8114754098360656,0.6313788316819242,0.6377518934689382
Stable-50,0.5,2,19,10,0.5263157894736842,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),29408,28023,0.9529039717083787,8686,7842,0.9028321436794843,0.829507778627901,0.7250107959406713,0.7016500755483772
Stable-50,0.5,3,19,10,0.5263157894736842,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),31273,29490,0.9429859623317238,6821,6375,0.9346136930068905,0.7963921568627451,0.6406700967910164,0.6376735273468177
Stable-50,0.5,4,19,10,0.5263157894736842,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),31084,29214,0.9398404323767855,7010,6651,0.9487874465049929,0.8301007367313186,0.7312549400731553,0.7305698194038255
