fold,scheme,n_features,train_n,valid_n,accuracy,balanced_accuracy,macro_f1
0,Stable-50,19,28066,7799,0.829849980766765,0.7353117916137772,0.7007959250329365
0,Full-40,40,28066,7799,0.8486985510962944,0.7447596736063717,0.7391499826697505
1,Stable-50,19,28667,7198,0.8114754098360656,0.6313788316819242,0.6377518934689382
1,Full-40,40,28667,7198,0.824256737982773,0.6538655223684707,0.6561173689565198
2,Stable-50,19,28023,7842,0.829507778627901,0.7250107959406713,0.7016500755483772
2,Full-40,40,28023,7842,0.8386891099209386,0.7170015957459601,0.6997677391306134
3,Stable-50,19,29490,6375,0.7963921568627451,0.6406700967910164,0.6376735273468177
3,Full-40,40,29490,6375,0.8183529411764706,0.6600034949509614,0.6663238705068432
4,Stable-50,19,29214,6651,0.8301007367313186,0.7312549400731553,0.7305698194038255
4,Full-40,40,29214,6651,0.8388212298902421,0.7443376111934201,0.7403368849248962
