fold,scheme,accuracy,balanced_accuracy,macro_f1,n_train,n_valid
0,Full40_native,0.8486985510962944,0.7447596736063717,0.7391499826697505,28066,7799
0,Full40_imputed,0.8452365687908706,0.7372852402190772,0.7304175186236488,28066,7799
0,Missingness_only,0.4073599179381972,0.27509214724392916,0.23217347655850024,28066,7799
1,Full40_native,0.824256737982773,0.6538655223684707,0.6561173689565198,28667,7198
1,Full40_imputed,0.8188385662684079,0.6479013776003313,0.6497294610072726,28667,7198
1,Missingness_only,0.4080300083356488,0.3031672687757916,0.25768378458250835,28667,7198
2,Full40_native,0.8386891099209386,0.7170015957459601,0.6997677391306134,28023,7842
2,Full40_imputed,0.8397092578423871,0.7244169997471194,0.7072307485300118,28023,7842
2,Missingness_only,0.3385615914307575,0.3102272672629054,0.23840613707556124,28023,7842
3,Full40_native,0.8183529411764706,0.6600034949509614,0.6663238705068432,29490,6375
3,Full40_imputed,0.816156862745098,0.6631993742576082,0.6716561587686714,29490,6375
3,Missingness_only,0.4376470588235294,0.3775718318526352,0.2992059860064598,29490,6375
4,Full40_native,0.8388212298902421,0.7443376111934201,0.7403368849248962,29214,6651
4,Full40_imputed,0.8364155766050217,0.7397939650868857,0.7361119005621566,29214,6651
4,Missingness_only,0.48338595699894754,0.30253948761339655,0.2666515520645123,29214,6651
