class,feature,mean_abs_shap,spearman_rho,spearman_p,q25,q75,low_q_mean_shap,high_q_mean_shap,delta_high_minus_low,direction,n_measured,n_missing,missing_rate,missing_mean_shap,class_rank
BABB,TIO2(WT%),0.9684444,-0.8842946244299241,0.0,1.31,2.7279225,0.07478275,-1.6749144,-1.7496971,LOWER_VALUE_MORE_POSITIVE,10078,8,0.000793178663493952,-2.414219617843628,1
BABB,SIO2(WT%),0.8064907,0.9586120584930891,0.0,48.14,51.56,-1.6435138,0.6300992,2.273613,HIGHER_VALUE_MORE_POSITIVE,10086,0,0.0,,2
BABB,K2O(WT%),0.72019804,-0.8924761052060938,0.0,0.31,1.11575,0.07002268,-1.3536508,-1.4236735,LOWER_VALUE_MORE_POSITIVE,10050,36,0.003569303985722784,-1.4331358671188354,3
BABB,BA(PPM),0.69345737,-0.7073984674423218,0.0,81.0,394.0,0.54215854,-0.9978314,-1.53999,LOWER_VALUE_MORE_POSITIVE,7825,2261,0.2241721197699782,-0.11284077912569046,4
BABB,FE_TOTAL(WT%),0.610713,-0.7851994212912485,0.0,10.10946,12.50722,-0.05070013,-0.7909498,-0.7402497,LOWER_VALUE_MORE_POSITIVE,10077,9,0.000892325996430696,-1.3527443408966064,5
BABB,AL2O3(WT%),0.54681176,0.7567157488118603,0.0,13.45,15.34,-0.84500974,0.11518789,0.9601976,HIGHER_VALUE_MORE_POSITIVE,10079,7,0.000694031330557208,-1.821270227432251,6
BABB,NB(PPM),0.52820057,0.10218343946447347,9.346980141279133e-19,6.0,21.81,-0.2131504,-0.42525783,-0.21210743,LOWER_VALUE_MORE_POSITIVE,7452,2634,0.2611540749553837,-0.06856512278318405,7
BABB,CAO(WT%),0.46466878,0.9176666597082904,0.0,8.91,11.1,-0.8189546,0.20805532,1.02701,HIGHER_VALUE_MORE_POSITIVE,10073,13,0.001288915328177672,-1.3108996152877808,8
BABB,P2O5(WT%),0.4327235,-0.7094998501777179,0.0,0.15,0.41,-0.10064686,-0.8365359,-0.735889,LOWER_VALUE_MORE_POSITIVE,9929,157,0.015566131271068808,-1.5538663864135742,9
BABB,MGO(WT%),0.40762305,-0.9153086889186776,0.0,5.2816094666395745,8.05,0.3768108,-0.7230132,-1.099824,LOWER_VALUE_MORE_POSITIVE,10075,11,0.001090620662304184,-1.3268723487854004,10
BABB,SR(PPM),0.39777035,-0.8470473614350248,0.0,179.95630649999998,390.0,-0.051696494,-0.78023964,-0.72854316,LOWER_VALUE_MORE_POSITIVE,8243,1843,0.1827285346024192,-0.16606247425079346,11
BABB,NA2O(WT%),0.37516326,0.768330766005765,0.0,2.23,3.0,-0.6873108,0.2746439,0.9619547,HIGHER_VALUE_MORE_POSITIVE,10069,17,0.0016855046599246481,-2.2895867824554443,12
BABB,ZR(PPM),0.32429335,-0.6853408656764813,0.0,98.728685,194.0,-0.056824513,-0.51218116,-0.45535666,LOWER_VALUE_MORE_POSITIVE,8099,1987,0.19700575054531033,-0.0050994837656617165,13
