class,feature,all_mean_abs_shap,all_measured_mean_abs_shap,trueclass_mean_abs_shap,trueclass_mean_signed_shap,trueclass_measured_mean_abs_shap,trueclass_measured_mean_signed_shap,trueclass_n,trueclass_measured_n,trueclass_missing_rate,rank_all,rank_all_measured,rank_trueclass,rank_trueclass_measured,rank_shift_missingness,rank_shift_trueclass
CAB,SIO2(WT%),0.25494653,0.25494653,0.27811542,0.17626737,0.27811542,0.17626737,84,84,0.0,13,13,13,13,0,0
CAB,TIO2(WT%),1.2286314,1.2281406,0.6957551,-0.002465393,0.6957551,-0.002465393,84,84,0.0,1,1,3,3,0,2
CAB,AL2O3(WT%),0.6755784,0.6753848,0.4756929,0.050049998,0.4756929,0.050049998,84,84,0.0,4,4,4,4,0,0
CAB,FE_TOTAL(WT%),0.39995483,0.39906546,0.32844242,0.109872065,0.32844242,0.109872065,84,84,0.0,9,8,8,6,-1,-3
CAB,CAO(WT%),0.17888872,0.17786011,0.1440259,0.02635045,0.1440259,0.02635045,84,84,0.0,17,17,17,17,0,0
CAB,MGO(WT%),0.20047659,0.19992721,0.1766493,0.049292486,0.1766493,0.049292486,84,84,0.0,16,16,16,16,0,0
CAB,MNO(WT%),0.3768511,0.36298028,0.29151875,0.041521367,0.29151875,0.041521367,84,84,0.0,10,11,12,12,1,2
CAB,K2O(WT%),0.4003062,0.39664418,0.24653485,0.19831099,0.24653485,0.19831099,84,84,0.0,8,9,14,14,1,6
CAB,NA2O(WT%),0.92270035,0.9219656,0.76239634,0.37647632,0.76239634,0.37647632,84,84,0.0,3,3,2,2,0,-1
CAB,P2O5(WT%),0.4410771,0.4415975,0.32572964,0.2303002,0.32572964,0.2303002,84,84,0.0,6,7,9,8,1,2
CAB,V(PPM),0.23924881,0.22306207,0.34381709,0.08115159,0.32332635,0.25243765,84,62,0.26190476190476186,15,14,7,10,-1,-5
CAB,CR(PPM),0.10206917,0.13018732,0.08139293,-0.038068626,0.08788002,-0.069578744,84,63,0.25,19,19,19,19,0,0
CAB,NI(PPM),0.23943979,0.28982118,0.30057073,-0.13508455,0.31601837,-0.2742242,84,62,0.26190476190476186,14,12,11,11,-2,-3
CAB,RB(PPM),0.40584016,0.505899,0.18523954,-0.045586307,0.19724296,-0.054567073,84,77,0.08333333333333337,7,6,15,15,-1,8
CAB,SR(PPM),0.9682082,1.0911131,1.1934206,1.1595857,1.2834579,1.2834579,84,77,0.08333333333333337,2,2,1,1,0,-1
CAB,Y(PPM),0.5421437,0.6212177,0.4340282,0.123827845,0.461019,0.14755134,84,77,0.08333333333333337,5,5,5,5,0,0
CAB,ZR(PPM),0.13250433,0.1549071,0.13849162,0.049034055,0.14214355,0.044553474,84,77,0.08333333333333337,18,18,18,18,0,0
CAB,NB(PPM),0.34231612,0.38810307,0.31550437,0.13823268,0.32546434,0.1665619,84,77,0.08333333333333337,11,10,10,9,-1,-2
CAB,BA(PPM),0.3317738,0.20235339,0.35282835,0.24435355,0.3257356,0.3257356,84,77,0.08333333333333337,12,15,6,7,3,-5
IAB,SIO2(WT%),0.1781869,0.1781869,0.09418844,0.010579447,0.09418844,0.010579447,641,641,0.0,9,9,14,15,0,6
IAB,TIO2(WT%),0.4973282,0.49714348,0.3266455,0.14415644,0.3266455,0.14415644,641,641,0.0,3,3,3,3,0,0
IAB,AL2O3(WT%),0.78756607,0.7872984,0.49971053,0.13431622,0.49971053,0.13431622,641,641,0.0,2,2,2,2,0,0
IAB,FE_TOTAL(WT%),0.42081884,0.4207974,0.32503226,0.116711475,0.32503226,0.116711475,641,641,0.0,4,4,4,4,0,0
IAB,CAO(WT%),0.84218127,0.8409159,0.68566513,0.28521258,0.68566513,0.28521258,641,641,0.0,1,1,1,1,0,0
IAB,MGO(WT%),0.19683003,0.19660345,0.14598069,0.01318762,0.14598069,0.01318762,641,641,0.0,7,7,10,11,0,4
IAB,MNO(WT%),0.11439126,0.09993844,0.07898394,0.011279415,0.07898394,0.011279415,641,641,0.0,16,19,16,19,3,3
IAB,K2O(WT%),0.15547809,0.15353198,0.23616828,0.098800756,0.23616828,0.098800756,641,641,0.0,11,12,7,8,1,-3
IAB,NA2O(WT%),0.12273526,0.12165127,0.2659316,0.10556305,0.2659316,0.10556305,641,641,0.0,13,16,5,7,3,-6
IAB,P2O5(WT%),0.18023312,0.17628379,0.17414035,0.007005812,0.17414035,0.007005812,641,641,0.0,8,11,9,9,3,1
IAB,V(PPM),0.2813556,0.31739354,0.25527135,-0.015605033,0.29725382,-0.2913284,641,295,0.5397815912636506,5,5,6,5,0,0
IAB,CR(PPM),0.1136129,0.13199273,0.09609839,-0.038822137,0.14501527,-0.017915739,641,282,0.5600624024960998,17,14,13,12,-3,-5
IAB,NI(PPM),0.11320147,0.1324954,0.07806386,0.017281158,0.087198675,-0.0012427873,641,344,0.4633385335413417,18,13,17,18,-5,0
IAB,RB(PPM),0.09823687,0.11312215,0.065891966,-0.027299069,0.095341034,-0.042022407,641,388,0.39469578783151327,19,17,19,13,-2,-6
IAB,SR(PPM),0.25861052,0.2982013,0.1935263,0.040966503,0.27685484,0.07896791,641,411,0.358814352574103,6,6,8,6,0,0
IAB,Y(PPM),0.15075155,0.17716484,0.07017585,-0.0073793726,0.09461992,0.009266545,641,377,0.4118564742589703,12,10,18,14,-2,2
IAB,ZR(PPM),0.17662962,0.19284345,0.10344569,0.031628393,0.09172658,-0.030706622,641,376,0.4134165366614665,10,8,12,16,-2,6
IAB,NB(PPM),0.11613876,0.13033786,0.111096255,0.033130758,0.15167278,0.09938269,641,368,0.42589703588143524,15,15,11,10,0,-5
IAB,BA(PPM),0.11645895,0.10483709,0.0883586,0.0018718529,0.09135558,0.040568043,641,320,0.500780031201248,14,18,15,17,4,3
