feature,training_period_missing_rate
SIO2(WT%),0.0
TIO2(WT%),0.015718870874825118
AL2O3(WT%),0.018297533810660304
FE_TOTAL(WT%),0.017227663018132937
CAO(WT%),0.01816037088854141
MGO(WT%),0.015087921433078211
MNO(WT%),0.054563410418895564
K2O(WT%),0.017309960771404273
NA2O(WT%),0.019010781005678545
P2O5(WT%),0.05077771376841412
V(PPM),0.47189531725783884
CR(PPM),0.4063314404850081
NI(PPM),0.37632019312539433
RB(PPM),0.36948947960387346
SR(PPM),0.32337530518750174
Y(PPM),0.3788988560612295
ZR(PPM),0.350972485117823
NB(PPM),0.43434010918168603
BA(PPM),0.41168079444764494
