subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,learning_rate,colsample_bytree,config_id,fold,n_train,n_valid,n_train_publications,n_valid_publications,n_features,completeness_threshold,selected_features,best_iteration,accuracy,balanced_accuracy,macro_f1,weighted_f1
1.0,1.0,1.0,5,4,0.02,1.0,1,0,25462,8609,1339,449,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.829248460912998,0.7504907608872982,0.7322044276350013,0.8316724190507505
1.0,1.0,1.0,5,4,0.02,1.0,1,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.80014000700035,0.6680336509786344,0.6332897006059584,0.8014356597321649
1.0,1.0,1.0,5,4,0.02,1.0,1,2,25854,8217,1333,455,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1797,0.7761956918583425,0.6552083100742974,0.6412687204171641,0.7788825623622015
1.0,1.0,1.0,5,4,0.02,1.0,1,3,25397,8674,1340,448,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.7844131888402122,0.7291061318594941,0.6957016389932209,0.7873530184006022
0.7,10.0,0.1,3,6,0.02,0.7,2,0,25462,8609,1339,449,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.8469044023696132,0.750723967986226,0.7491481169990968,0.8470066335115268
0.7,10.0,0.1,3,6,0.02,0.7,2,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.8288414420721036,0.6779330778766354,0.6658785583473136,0.8260383732640248
0.7,10.0,0.1,3,6,0.02,0.7,2,2,25854,8217,1333,455,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.80406474382378,0.6655404691763356,0.6742580517118808,0.8029537971306013
0.7,10.0,0.1,3,6,0.02,0.7,2,3,25397,8674,1340,448,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1798,0.8110445008070094,0.7336843101903185,0.7233322335901756,0.8101467423125401
0.9,10.0,0.0,1,4,0.02,0.8,3,0,25462,8609,1339,449,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.829016145893832,0.7556461473312307,0.7314201696646683,0.8319028388025721
0.9,10.0,0.0,1,4,0.02,0.8,3,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.8069070120172676,0.6817719451706135,0.645503684141224,0.8079666893688433
