config_id,subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,learning_rate,colsample_bytree,mean_macro_f1,sd_macro_f1,mean_balanced_accuracy,mean_accuracy,median_best_iteration
5,0.7,2.0,0.1,1,8,0.02,0.9,0.7051718295933699,0.041114511365921015,0.6985436776476976,0.8269865983120429,835
8,0.9,5.0,0.0,3,5,0.08,0.7,0.7046715262458214,0.042412673877191734,0.707090751266694,0.8219401717695952,602
6,0.8,5.0,1.0,3,8,0.02,0.8,0.7037187629337839,0.042259370853518025,0.702557752073337,0.8239729657893782,1263
12,0.9,1.0,0.0,5,5,0.05,0.8,0.7033468604138734,0.04324356704294311,0.7055107538573396,0.8216521803694764,890
2,0.7,10.0,0.1,3,6,0.02,0.7,0.7031542401621167,0.03977878114015089,0.7069704563073789,0.8227137722681266,1800
10,1.0,1.0,0.5,3,8,0.02,0.9,0.7009591045452813,0.03750098249956689,0.6962508101919471,0.8207981383177134,845
11,1.0,2.0,0.1,5,5,0.02,1.0,0.6969329826945976,0.04281383922792037,0.7056697703977686,0.8133121249704376,1794
9,1.0,2.0,0.1,3,4,0.08,0.9,0.6965097963716526,0.04157751897452315,0.7021120390977957,0.8131994055735126,906
4,0.7,10.0,1.0,5,4,0.03,0.9,0.6913915862600467,0.03930945114264489,0.7105356083913356,0.8106538330491717,1799
3,0.9,10.0,0.0,1,4,0.02,0.8,0.6804855284314256,0.04013401620316237,0.709298357045703,0.798319588346786,1800
1,1.0,1.0,1.0,5,4,0.02,1.0,0.675616121912836,0.04682212536484529,0.700709713449931,0.7974993371529757,1800
7,0.9,1.0,0.1,10,3,0.03,1.0,0.6703125849334968,0.04034070881746104,0.706983158951337,0.7892844238209696,1799
