config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,mean_macro_f1,sd_macro_f1,mean_balanced_accuracy,sd_balanced_accuracy,mean_accuracy
4,300,2,2,sqrt,,0.6525749832072612,0.036500565372337826,0.6308874501139504,0.03716736571623959,0.803936920613693
11,800,10,2,sqrt,20.0,0.6488942724778426,0.03828790186956002,0.6484485028701787,0.043770445788588234,0.7960051579100595
9,800,5,4,sqrt,30.0,0.6442642769620388,0.03780218616379909,0.6506807398708259,0.04442039827164379,0.7920990521731168
8,500,10,1,0.5,20.0,0.6426765575355848,0.03650452408436081,0.6349486569312793,0.04365199842312726,0.7979976127515619
5,300,2,4,sqrt,20.0,0.6403189549179346,0.03859516230393666,0.6488567225350832,0.045995066502117564,0.7891850303004744
15,300,10,4,sqrt,20.0,0.6386526667591588,0.039442448232010215,0.6500911126501745,0.045351386156131206,0.7876584485458096
12,800,2,1,sqrt,20.0,0.6372090590094932,0.029676281850175006,0.60030935905465,0.02633741012093719,0.8018840648945714
13,500,2,2,0.8,20.0,0.631434317460905,0.02537404946217705,0.6184726174517716,0.032250853899471014,0.7965788974019434
7,300,5,1,0.8,20.0,0.6279997095418,0.020745151782730484,0.6088815047354977,0.02500450112317614,0.7962378009161115
2,300,2,1,0.5,12.0,0.6205634577797084,0.03450795421903146,0.6362609640054905,0.044209200172134575,0.7647759890795816
14,500,10,2,0.5,12.0,0.6162036438551359,0.03551031812335331,0.6474408039094652,0.050013402273979324,0.7592626339468064
6,300,2,4,0.5,12.0,0.615796775465903,0.03792028438638971,0.6498820650908762,0.05182026870665204,0.7576729850622674
1,300,10,4,0.5,12.0,0.6114482357902421,0.03475039551142535,0.6477104231564996,0.049895020836763816,0.7560909239944854
3,800,2,1,0.8,12.0,0.6069248195007468,0.03232347336608923,0.6283475353495127,0.04527210845570913,0.7573966035497103
10,300,2,2,0.8,12.0,0.6034968938226111,0.03142735092937362,0.6310932518180244,0.04620319143772799,0.7548141720749879
