config_id,subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,learning_rate,colsample_bytree,mean_macro_f1,sd_macro_f1,mean_balanced_accuracy,sd_balanced_accuracy,mean_accuracy,mean_best_iteration
14,0.8,1.0,0.0,1,6,0.02,0.7,0.6815325089269504,0.04275311367402725,0.6926532247145861,0.05207971945421706,0.8195212883917232,1380.8
5,0.7,2.0,0.1,1,8,0.02,0.9,0.6811299903824373,0.0442553832522234,0.6929088107466246,0.050579635216577004,0.8207476317577147,832.8
15,0.8,1.0,0.0,5,8,0.03,0.7,0.6780493127403193,0.04071252603472959,0.6917404352637735,0.05003063881927436,0.8184478404352534,675.8
2,0.7,10.0,0.1,3,6,0.02,0.7,0.6762165076160547,0.04348509623944477,0.6950281924004935,0.051634124987179265,0.8153607036282867,1942.6
6,0.8,5.0,1.0,3,8,0.02,0.8,0.6749352475412213,0.043887400451205025,0.6898038194831726,0.05029673748161471,0.8184705323482309,1293.0
20,0.8,5.0,1.0,1,5,0.08,1.0,0.674776593823113,0.041076726563864414,0.6947472198790086,0.05124211277056528,0.8137981387214859,568.4
8,0.9,5.0,0.0,3,5,0.08,0.7,0.6746220996092805,0.04220814563902744,0.6933091134533607,0.05058717995259701,0.8118496730757527,587.6
17,1.0,5.0,1.0,5,8,0.08,0.7,0.6744770840996794,0.041509779290035964,0.6903049918940641,0.04909112559112168,0.815275555401558,315.4
19,0.7,1.0,0.5,5,6,0.03,1.0,0.6737555705871124,0.044150910096767054,0.6933307662371119,0.05460300278028205,0.8152974461726975,1035.4
29,1.0,5.0,0.5,3,5,0.03,0.7,0.6735302912437073,0.04215992892825131,0.694871224296303,0.05200992092879304,0.8108064333296049,1629.6
12,0.9,1.0,0.0,5,5,0.05,0.8,0.6731799544753491,0.041668063750999185,0.6942417831973668,0.0517499032997439,0.8110828431476695,860.6
21,0.7,10.0,1.0,10,8,0.02,0.8,0.6726199077747325,0.03942470448435675,0.6956305690589671,0.04713127619716797,0.8136485011911049,1808.0
22,0.9,5.0,0.1,10,6,0.05,0.8,0.6724673183525305,0.0383070286652325,0.6952077069879363,0.049108961796304994,0.8112375590723016,814.2
30,1.0,1.0,1.0,10,8,0.02,0.7,0.6710175357767152,0.04094746242722759,0.6906835876177281,0.04942520047946356,0.813181623611331,1231.0
11,1.0,2.0,0.1,5,5,0.02,1.0,0.6704081307435013,0.03886098302139575,0.6935138322105385,0.051263835443805375,0.8096429517700615,2281.8
27,0.9,10.0,0.5,5,8,0.05,1.0,0.6703860826157885,0.04596787649614046,0.6890041279996867,0.051553783859917705,0.8143708859716453,546.6
9,1.0,2.0,0.1,3,4,0.08,0.9,0.6696669388476643,0.039834812657007564,0.6913241150722333,0.050665839487031704,0.8070965967811038,868.6
10,1.0,1.0,0.5,3,8,0.02,0.9,0.6692715881286668,0.04008696149929805,0.6828866740185022,0.04828541210454889,0.8148797350510929,880.8
13,0.8,2.0,0.1,5,4,0.03,0.7,0.668641643442493,0.03986202117035296,0.6936172637047667,0.050093169786685085,0.8061382044837618,2195.8
23,0.9,10.0,1.0,10,6,0.05,1.0,0.6679479879301491,0.04368637547338475,0.6912917334070363,0.05261793519857012,0.8112781288233792,902.0
4,0.7,10.0,1.0,5,4,0.03,0.9,0.6670316521329732,0.037930167756848654,0.694495764277663,0.0491920999433121,0.8070851023036157,2570.0
28,0.8,10.0,1.0,5,4,0.05,0.7,0.66525630051861,0.04027366907375879,0.6896924164579222,0.04775447821541041,0.8068183160649894,1757.0
3,0.9,10.0,0.0,1,4,0.02,0.8,0.6647707811164383,0.03990620078283847,0.6966031020311043,0.05330654320644699,0.8019164094407338,2917.2
1,1.0,1.0,1.0,5,4,0.02,1.0,0.6646246563809852,0.03688362475313774,0.6940140886717,0.04864503879276542,0.8000634758789948,2788.0
24,1.0,10.0,1.0,10,4,0.05,1.0,0.6627635670973758,0.03807780011721928,0.6926411731938297,0.0488448007829631,0.8011655674780045,1776.0
18,0.7,2.0,0.1,1,3,0.03,0.8,0.6598910187019134,0.04227701367983623,0.6942596023785991,0.05460090328072206,0.795805982636254,2834.4
25,1.0,5.0,1.0,5,3,0.05,0.7,0.6578525965434693,0.03648847766896132,0.6940533810725716,0.05139633173579888,0.797279299276673,2509.8
7,0.9,1.0,0.1,10,3,0.03,1.0,0.6573812108251444,0.04188289258327733,0.6952075235097197,0.055664168155046274,0.7931376354991571,2897.2
26,0.8,10.0,1.0,5,3,0.02,0.7,0.6388079310214481,0.032740301550789615,0.6929590875834133,0.050523174132574136,0.7756756713497397,2998.0
16,1.0,10.0,1.0,5,3,0.02,0.8,0.631820328819021,0.031184281056628942,0.689747818192532,0.04980956008005692,0.7725589851694835,2999.0
