PAPER_RECORD_ID,PAPER_ID,CV_GROUP_V4,CITATION,PETDB_CITATION_URL,N_RETAINED_SAMPLES,N_UNIQUE_SAMPLE_URLS,N_ROWS_IN_ORIGINAL_EXPORT_FOR_CITATION,SOURCE_EXPORT,DOWNLOAD_DATE,MATCH_STATUS
PETDB|CITATION_SHA1|d5a8236c6dd272f3,PAPER|MERGED|011706402e882422,PAPER|MERGED|011706402e882422,"Martin, C. E. (1991). OS ISOTOPIC CHARACTERISTICS OF MANTLE DERIVED ROCKS. GEOCHIM COSMOCHIM ACTA, 55, 1421-1434.",https://www.earthchem.org/petdb/citation/e5f6ad6ce374177eef023bf5d0c018b6,1,1,3,PetDB_MORB_ALL.csv,2026-08-11,EXACT_SAMPLE_URL_AND_CITATION
PETDB|CITATION_SHA1|7e5a4bf3f75c25bf,PAPER|MERGED|1199d05be01346da,PAPER|MERGED|1199d05be01346da,"Harpp, K. S., Weis, D. (2020). INSIGHTS INTO THE ORIGINS AND COMPOSITIONS OF MANTLE PLUMES: A COMPARISON OF GALÁPAGOS AND HAWAI'I. GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS, 21(9), null.",https://www.earthchem.org/petdb/citation/2192890582189ff58ddbb2b79900f246,37,37,208,PetDB_MORB_ALL.csv,2026-08-11,EXACT_SAMPLE_URL_AND_CITATION
PETDB|CITATION_SHA1|53aedca48d47e122,PAPER|MERGED|18362b995fd99ed2,PAPER|MERGED|18362b995fd99ed2,"Madureira, P., Moreira, M., ... Pinto De Abreu, M. (2014). HELIUM ISOTOPE SYSTEMATICS IN THE VINCINITY OF THE AZORES TRIPLE JUNCTION: CONTRAINTS ON THE AZORES GEODYNAMICS. CHEMICAL GEOLOGY, 372, 62-71.",https://www.earthchem.org/petdb/citation/7fd804295ef7f6a2822bf4c61f9dc4a8,20,20,63,PetDB_MORB_ALL.csv,2026-08-11,EXACT_SAMPLE_URL_AND_CITATION
PETDB|CITATION_SHA1|a16cd5df509fde93,PAPER|MERGED|23e4ac0fd6053d4b,PAPER|MERGED|23e4ac0fd6053d4b,"Zellmer, G. F., Rubin, K. H., ... Jurado-chichay, Z. (2008). ON THE RECENT BIMODAL MAGMATIC PROCESSES AND THEIR RATES IN THE TORFAJÖKULL–VEIDIVÖTN AREA, ICELAND. EARTH PLANET SCI LETT, 269(3-4), 398.",https://www.earthchem.org/petdb/citation/e9fb2eda3d9c55a0d89c98d6c54b5b3e,3,3,27,PetDB_MORB_ALL.csv,2026-08-11,EXACT_SAMPLE_URL_AND_CITATION
PETDB|CITATION_SHA1|8b84ed2efbd4d540,PAPER|MERGED|4b4e2a22dbd8e4c9,PAPER|MERGED|4b4e2a22dbd8e4c9,"Harpp, K. S., Fornari, D. J., ... Kurz, M. D. (2003). GENOVESA SUBMARINE RIDGE: A MANIFESTATION OF PLUME-RIDGE INTERACTION IN THE NORTHERN GALAPAGOS ISLANDS. GEOCHEM GEOPHYS GEOSYST, 4(9)",https://www.earthchem.org/petdb/citation/2715518c875999308842e3455eda2fe3,1,1,3,PetDB_MORB_ALL.csv,2026-08-11,EXACT_SAMPLE_URL_AND_CITATION
PETDB|CITATION_SHA1|802e20bd39425922,PAPER|MERGED|52539fe6d40c101c,PAPER|MERGED|52539fe6d40c101c,"Humphris, S. E., Thompson, G. (1982). A GEOCHEMICAL STUDY OF ROCKS FROM THE WALVIS RIDGE, SOUTH ATLANTIC. CHEMICAL GEOLOGY, 36(3-4), 274.",https://www.earthchem.org/petdb/citation/881c6efa917cff1c97a74e03e15f43e8,2,2,8,PetDB_MORB_ALL.csv,2026-08-11,EXACT_SAMPLE_URL_AND_CITATION
PETDB|CITATION_SHA1|1396df762c8d132a,PAPER|MERGED|58a8c3e9e3a9f318,PAPER|MERGED|58a8c3e9e3a9f318,"Kempton, P. D., Fitton, J. G., ... Pearson, G. (2000). THE ICELAND PLUME IN SPACE AND TIME: A SR-ND-PB-HF STUDY OF THE NORTH ATLANTIC RIFTED MARGIN. EARTH PLANET SCI LETT, 177, 255-271.",https://www.earthchem.org/petdb/citation/a113c1ecd3cace2237256f4c712f61b5,1,1,26,PetDB_MORB_ALL.csv,2026-08-11,EXACT_SAMPLE_URL_AND_CITATION
PETDB|CITATION_SHA1|28bbd007be679513,PAPER|MERGED|9b05c0a82db6838b,PAPER|MERGED|9b05c0a82db6838b,"Byerly, G. R., Melson, W. G., ... Vogt, P. R. (1976). RHYODACITES, ANDESITES, FERRO-BASALTS AND OCEAN THOLEIITES FROM THE GALAPAGOS SPREADING CENTER. EARTH PLANET SCI LETT, 30, 215-221.",https://www.earthchem.org/petdb/citation/c74d97b01eae257e44aa9d5bade97baf,6,6,21,PetDB_MORB_ALL.csv,2026-08-11,EXACT_SAMPLE_URL_AND_CITATION
PETDB|CITATION_SHA1|82e8cabda89651ea,PAPER|MERGED|bf07c89eb0b7310f,PAPER|MERGED|bf07c89eb0b7310f,"Geist, D. J., Fornari, D. J., ... Koleszar, A. M. (2006). SUBMARINE FERNANDINA:  MAGMATISM AT THE LEADING EDGE OF THE GALAPAGOS HOT SPOT. GEOCHEM GEOPHYS GEOSYST, 7(12)",https://www.earthchem.org/petdb/citation/996009f2374006606f4c0b0fda878af1,11,11,25,PetDB_MORB_ALL.csv,2026-08-11,EXACT_SAMPLE_URL_AND_CITATION
PETDB|CITATION_SHA1|009d4e6c1ad2eff1,PAPER|MERGED|d58c00c0830a8e70,PAPER|MERGED|d58c00c0830a8e70,"Beier, C., Haase, K. M., ... Hauff, F. (2008). MAGMA GENESIS BY RIFTING OF OCEANIC LITHOSPHERE ABOVE ANOMALOUS MANTLE: TERCEIRA RIFT, AZORES. GEOCHEM GEOPHYS GEOSYST, 9(12)",https://www.earthchem.org/petdb/citation/f52378e14237225a6f6c7d802dc6abbd,23,23,89,PetDB_MORB_ALL.csv,2026-08-11,EXACT_SAMPLE_URL_AND_CITATION
