PAPER_ID,DATABASE,CV_GROUP_V4,PAPER_DOI,CITATION,PAPER_FIRST_AUTHOR,PAPER_YEAR,N_SAMPLES
PAPER|GEOROC|CITATION_ID|2167,GEOROC,PAPER|GEOROC|CITATION_ID|2167,,[2167] CROSS W (1915),CROSS,1915,29
PAPER|GEOROC|CITATION_ID|5976,GEOROC,PAPER|GEOROC|CITATION_ID|5976,,[5976] TSUBOI S. (1920),TSUBOI,1920,1
PAPER|GEOROC|CITATION_ID|2747,GEOROC,PAPER|GEOROC|CITATION_ID|2747,,[2747] WASHINGTON H. S. (1922),WASHINGTON,1922,25
PAPER|GEOROC|CITATION_ID|1437,GEOROC,PAPER|GEOROC|CITATION_ID|1437,,[1437] WASHINGTON H. S. (1923),WASHINGTON,1923,15
PAPER|GEOROC|CITATION_ID|1438,GEOROC,PAPER|GEOROC|CITATION_ID|1438,,[1438] WASHINGTON H. S. (1923),WASHINGTON,1923,16
PAPER|GEOROC|CITATION_ID|3246,GEOROC,PAPER|GEOROC|CITATION_ID|3246,,[3246] WASHINGTON H. S. (1926),WASHINGTON,1926,13
PAPER|GEOROC|CITATION_ID|2165,GEOROC,PAPER|GEOROC|CITATION_ID|2165,,[2165] DALY R. A. (1927),DALY,1927,5
PAPER|GEOROC|CITATION_ID|1483,GEOROC,PAPER|GEOROC|CITATION_ID|1483,,[1483] LACROIX A. (1928),LACROIX,1928,9
PAPER|GEOROC|CITATION_ID|1440,GEOROC,PAPER|GEOROC|CITATION_ID|1440,,[1440] WASHINGTON H. S. (1928),WASHINGTON,1928,11
PAPER|GEOROC|CITATION_ID|1320,GEOROC,PAPER|GEOROC|CITATION_ID|1320,,[1320] ESENWEIN P. (1930),ESENWEIN,1930,10
PAPER|GEOROC|CITATION_ID|3202,GEOROC,PAPER|GEOROC|CITATION_ID|3202,,[3202] PIGGOT C. S. (1931),PIGGOT,1931,1
PAPER|GEOROC|CITATION_ID|1433,GEOROC,PAPER|GEOROC|CITATION_ID|1433,,[1433] POWERS H. A. (1931),POWERS,1931,8
PAPER|GEOROC|CITATION_ID|3293,GEOROC,PAPER|GEOROC|CITATION_ID|3293,,[3293] BACKLUND H. G. (1932),BACKLUND,1932,2
PAPER|GEOROC|CITATION_ID|3021,GEOROC,PAPER|GEOROC|CITATION_ID|3021,,[3021] WAGER L. R. (1934),WAGER,1934,4
PAPER|GEOROC|CITATION_ID|4425,GEOROC,PAPER|GEOROC|CITATION_ID|4425,,[4425] TOMITA T. (1935),TOMITA,1935,10
PAPER|GEOROC|CITATION_ID|2020,GEOROC,PAPER|GEOROC|CITATION_ID|2020,,[2020] ASKELSSON J. (1936),ASKELSSON,1936,2
PAPER|GEOROC|CITATION_ID|1319,GEOROC,PAPER|GEOROC|CITATION_ID|1319,,[1319] LACROIX A. (1936),LACROIX,1936,43
PAPER|GEOROC|CITATION_ID|1484,GEOROC,PAPER|GEOROC|CITATION_ID|1484,,[1484] LACROIX A. (1936),LACROIX,1936,7
PAPER|GEOROC|CITATION_ID|1985,GEOROC,PAPER|GEOROC|CITATION_ID|1985,,[1985] LACROIX A. (1936),LACROIX,1936,1
PAPER|GEOROC|CITATION_ID|1460,GEOROC,PAPER|GEOROC|CITATION_ID|1460,,[1460] BANDY M. C. (1937),BANDY,1937,6
PAPER|GEOROC|CITATION_ID|4240,GEOROC,PAPER|GEOROC|CITATION_ID|4240,,[4240] TSUYA H. (1937),TSUYA,1937,15
PAPER|PETDB|CITATION_SHA1|1a72f7cf9745ab80,PetDB,PAPER|PETDB|CITATION_SHA1|1a72f7cf9745ab80,,"Wiseman, J. D. H., Poole, J. H. J. (1937). GEOLOGICAL AND MINERALOGICAL INVESTIGATIONS, 1. BASALTS FROM THE CARLSBERG RIDGE, INDIAN OCEAN. REP JOHN MURRAY EXPED, BRIT. MUS.N.H., 3(1), 1-28.",WISEMAN,1937,1
PAPER|GEOROC|CITATION_ID|7334,GEOROC,PAPER|GEOROC|CITATION_ID|7334,,[7334] LIGHTFOOT P. C. (1938),LIGHTFOOT,1938,2
PAPER|GEOROC|CITATION_ID|1435,GEOROC,PAPER|GEOROC|CITATION_ID|1435,,[1435] SHEPHERD E. S. (1938),SHEPHERD,1938,10
PAPER|GEOROC|CITATION_ID|1467,GEOROC,PAPER|GEOROC|CITATION_ID|1467,,[1467] LACROIX A. (1939),LACROIX,1939,3
PAPER|GEOROC|CITATION_ID|6077,GEOROC,PAPER|GEOROC|CITATION_ID|6077,,[6077] TANAKADATE H. (1940),TANAKADATE,1940,2
PAPER|GEOROC|CITATION_ID|1994,GEOROC,PAPER|GEOROC|CITATION_ID|1994,,[1994] MACDONALD G. A. (1942),MACDONALD,1942,6
PAPER|GEOROC|CITATION_ID|4748,GEOROC,PAPER|GEOROC|CITATION_ID|4748,,[4748] SUGI K.-I. (1942),SUGI,1942,2
PAPER|GEOROC|CITATION_ID|6025,GEOROC,PAPER|GEOROC|CITATION_ID|6025,,[6025] TRYGGVASON T. (1943),TRYGGVASON,1943,6
PAPER|GEOROC|CITATION_ID|3295,GEOROC,PAPER|GEOROC|CITATION_ID|3295,,[3295] KROKSTRÖM H. G. (1944),KROKSTROM,1944,1
PAPER|GEOROC|CITATION_ID|298,GEOROC,PAPER|GEOROC|CITATION_ID|298,,[298] MACDONALD G. A. (1946),MACDONALD,1946,1
PAPER|GEOROC|CITATION_ID|1441,GEOROC,PAPER|GEOROC|CITATION_ID|1441,,[1441] WENTWORTH C. K. (1947),WENTWORTH,1947,9
PAPER|GEOROC|CITATION_ID|1993,GEOROC,PAPER|GEOROC|CITATION_ID|1993,,[1993] WINCHELL H. (1947),WINCHELL,1947,1
PAPER|GEOROC|CITATION_ID|257,GEOROC,PAPER|GEOROC|CITATION_ID|257,,[257] MACDONALD G. A. (1949),MACDONALD,1949,3
PAPER|GEOROC|CITATION_ID|1436,GEOROC,PAPER|GEOROC|CITATION_ID|1436,,[1436] TILLEY C. E. (1950),TILLEY,1950,1
PAPER|GEOROC|CITATION_ID|3020,GEOROC,PAPER|GEOROC|CITATION_ID|3020,,[3020] VINCENT E. A. (1950),VINCENT,1950,2
PAPER|GEOROC|CITATION_ID|6167,GEOROC,PAPER|GEOROC|CITATION_ID|6167,,[6167] LOMBAARD B. V. (1952),LOMBAARD,1952,6
PAPER|GEOROC|CITATION_ID|1322,GEOROC,PAPER|GEOROC|CITATION_ID|1322,,[1322] BERTHOIS L. (1953),BERTHOIS,1953,4
PAPER|GEOROC|CITATION_ID|1461,GEOROC,PAPER|GEOROC|CITATION_ID|1461,,[1461] ROSS C. S. (1954),ROSS,1954,1
PAPER|GEOROC|CITATION_ID|4610,GEOROC,PAPER|GEOROC|CITATION_ID|4610,,[4610] ISSHIKI N. (1955),ISSHIKI,1955,2
PAPER|GEOROC|CITATION_ID|1431,GEOROC,PAPER|GEOROC|CITATION_ID|1431,,[1431] MACDONALD G. A. (1955),MACDONALD,1955,7
PAPER|GEOROC|CITATION_ID|6017,GEOROC,PAPER|GEOROC|CITATION_ID|6017,,[6017] PATTERSON E. M. (1955),PATTERSON,1955,1
PAPER|GEOROC|CITATION_ID|1404,GEOROC,PAPER|GEOROC|CITATION_ID|1404,,[1404] KUNO H. (1957),KUNO,1957,2
PAPER|GEOROC|CITATION_ID|238,GEOROC,PAPER|GEOROC|CITATION_ID|238,,[238] MACDONALD G. A. (1957),MACDONALD,1957,1
PAPER|GEOROC|CITATION_ID|4734,GEOROC,PAPER|GEOROC|CITATION_ID|4734,,[4734] MORIMOTO R. (1957),MORIMOTO,1957,1
PAPER|GEOROC|CITATION_ID|287,GEOROC,PAPER|GEOROC|CITATION_ID|287,,[287] MUIR I. D. (1957),MUIR,1957,1
PAPER|GEOROC|CITATION_ID|2714,GEOROC,PAPER|GEOROC|CITATION_ID|2714,,[2714] SCHMIDT R. G. (1957),SCHMIDT,1957,7
PAPER|GEOROC|CITATION_ID|2447,GEOROC,PAPER|GEOROC|CITATION_ID|2447,,[2447] DE ALMEIDA F. F. M. (1958),DE,1958,3
PAPER|GEOROC|CITATION_ID|2745,GEOROC,PAPER|GEOROC|CITATION_ID|2745,,[2745] SUKHESWALA R. N. (1958),SUKHESWALA,1958,21
PAPER|GEOROC|CITATION_ID|2709,GEOROC,PAPER|GEOROC|CITATION_ID|2709,,[2709] WEST W. D. (1958),WEST,1958,5
PAPER|GEOROC|CITATION_ID|3600,GEOROC,PAPER|GEOROC|CITATION_ID|3600,,[3600] YAMAGUCHI M. (1958),YAMAGUCHI,1958,4
PAPER|GEOROC|CITATION_ID|4272,GEOROC,PAPER|GEOROC|CITATION_ID|4272,,[4272] AOKI K.-I. (1959),AOKI,1959,2
PAPER|GEOROC|CITATION_ID|6076,GEOROC,PAPER|GEOROC|CITATION_ID|6076,,[6076] KAWANO Y. (1959),KAWANO,1959,5
PAPER|GEOROC|CITATION_ID|7128,GEOROC,PAPER|GEOROC|CITATION_ID|7128,,[7128] AOKI K.-I. (1960),AOKI,1960,1
PAPER|GEOROC|CITATION_ID|4141,GEOROC,PAPER|GEOROC|CITATION_ID|4141,,[4141] KAWANO Y. (1960),KAWANO,1960,11
PAPER|GEOROC|CITATION_ID|2348,GEOROC,PAPER|GEOROC|CITATION_ID|2348,,[2348] KUNO H. (1960),KUNO,1960,3
PAPER|GEOROC|CITATION_ID|286,GEOROC,PAPER|GEOROC|CITATION_ID|286,,[286] TILLEY C. E. (1960),TILLEY,1960,4
PAPER|GEOROC|CITATION_ID|402,GEOROC,PAPER|GEOROC|CITATION_ID|402,,[402] TILLEY C. E. (1960),TILLEY,1960,1
PAPER|GEOROC|CITATION_ID|2047,GEOROC,PAPER|GEOROC|CITATION_ID|2047,,[2047] YAGI K. (1960),YAGI,1960,3
PAPER|GEOROC|CITATION_ID|5054,GEOROC,PAPER|GEOROC|CITATION_ID|5054,,[5054] AOKI K.-I. (1961),AOKI,1961,4
PAPER|GEOROC|CITATION_ID|3707,GEOROC,PAPER|GEOROC|CITATION_ID|3707,,[3707] CARSTENS H. (1961),CARSTENS,1961,2
PAPER|GEOROC|CITATION_ID|3714,GEOROC,PAPER|GEOROC|CITATION_ID|3714,,[3714] CARSTENS H. (1961),CARSTENS,1961,1
PAPER|GEOROC|CITATION_ID|7118,GEOROC,PAPER|GEOROC|CITATION_ID|7118,,[7118] FUKUYAMA K. (1961),FUKUYAMA,1961,1
PAPER|GEOROC|CITATION_ID|7119,GEOROC,PAPER|GEOROC|CITATION_ID|7119,,[7119] FUKUYAMA K. (1961),FUKUYAMA,1961,2
PAPER|GEOROC|CITATION_ID|3970,GEOROC,PAPER|GEOROC|CITATION_ID|3970,,[3970] KATSUI Y. (1961),KATSUI,1961,3
PAPER|GEOROC|CITATION_ID|3237,GEOROC,PAPER|GEOROC|CITATION_ID|3237,,[3237] KAWANO Y. (1961),KAWANO,1961,13
PAPER|GEOROC|CITATION_ID|7124,GEOROC,PAPER|GEOROC|CITATION_ID|7124,,[7124] KURASAWA H. (1961),KURASAWA,1961,15
PAPER|GEOROC|CITATION_ID|840,GEOROC,PAPER|GEOROC|CITATION_ID|840,,[840] MACDONALD G. A. (1961),MACDONALD,1961,10
PAPER|GEOROC|CITATION_ID|274,GEOROC,PAPER|GEOROC|CITATION_ID|274,,[274] MURATA K. J. (1961),MURATA,1961,2
PAPER|GEOROC|CITATION_ID|4080,GEOROC,PAPER|GEOROC|CITATION_ID|4080,,[4080] TIBA T. (1961),TIBA,1961,3
PAPER|GEOROC|CITATION_ID|260,GEOROC,PAPER|GEOROC|CITATION_ID|260,,[260] TILLEY C. E. (1961),TILLEY,1961,9
PAPER|GEOROC|CITATION_ID|14704,GEOROC,PAPER|GEOROC|CITATION_ID|14704,,[14704] WATERS A. C. (1961),WATERS,1961,24
PAPER|GEOROC|CITATION_ID|1429,GEOROC,PAPER|GEOROC|CITATION_ID|1429,,[1429] HAUSEN H. (1962),HAUSEN,1962,3
PAPER|GEOROC|CITATION_ID|3408,GEOROC,PAPER|GEOROC|CITATION_ID|3408,,[3408] KAWADA G. (1962),KAWADA,1962,6
PAPER|GEOROC|CITATION_ID|582,GEOROC,PAPER|GEOROC|CITATION_ID|582,,[582] LE MAITRE R. W. (1962),LE,1962,15
PAPER|GEOROC|CITATION_ID|1403,GEOROC,PAPER|GEOROC|CITATION_ID|1403,,[1403] MACDONALD G. A. (1962),MACDONALD,1962,15
PAPER|GEOROC|CITATION_ID|7275,GEOROC,PAPER|GEOROC|CITATION_ID|7275,,[7275] MIKAMI K. (1962),MIKAMI,1962,11
PAPER|GEOROC|CITATION_ID|4485,GEOROC,PAPER|GEOROC|CITATION_ID|4485,,[4485] ONUMA K. (1962),ONUMA,1962,3
PAPER|GEOROC|CITATION_ID|1422,GEOROC,PAPER|GEOROC|CITATION_ID|1422,,[1422] YODER H. S. JR. (1962),YODER,1962,3
